mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
6	6	0	0	2/4	2	1	I			A	I		I		I							M	0	0	3, 7, 4		3	3	2	4	0.3333333333333333	0.08333333333333333	0.16666666666666666	0.3333333333333333
6	6	1/8	1/8	2/4	2	1	IV			A	I		IV		IV							M	0	0	2, 6, 3		2	2	0	2	0.0	0.0	0.25	0.0
6	6	3/8	3/8	2/4	2	1	I6			A	I		I6		I		6					M	0	0	7, 4, 3		3	7	0	4	0.0	0.0	0.375	0.0
7	7	0	0	2/4	2	1	ii7(4)		viio6(62)	A	I		ii7(4)		ii		7	4				mm7	0	0	5, 4, 6, 3		5	5	2	3	0.4	0.25	0.5	0.3333333333333333
7	7	1/4	1/4	2/4	2	1	I|IAC}			A	I		I		I					IAC	}	M	0	0	3, 7, 4		3	3	3	7	0.3	0.125	1.0	0.1111111111111111
9	9	0	0	2/4	2	1	V2/V			A	I		V2/V		V		2		V			Mm7	0	0	3, 5, 9, 6		5	3	5	8	0.38461538461538464	0.20833333333333334	0.7916666666666666	0.20833333333333334
10	10	0	0	2/4	2	1	v6			A	I		v6		v		6					m	0	0	1, 5, 4		4	1	3	4	0.42857142857142855	0.125	0.625	0.16666666666666666
11	11	0	0	2/4	2	1	V2/IV			A	I		V2/IV		V		2		IV			Mm7	0	0	1, 3, 7, 4		3	1	5	8	0.38461538461538464	0.20833333333333334	0.7916666666666666	0.20833333333333334
12	12	0	0	2/4	2	1	iv6			A	I		iv6		iv		6					m	0	0	-1, 3, 2		2	-1	5	9	0.35714285714285715	0.20833333333333334	1.2916666666666667	0.1388888888888889
13	13	1/4	1/4	2/4	2	1	It6		Ger6	A	I		It6	It	vii	o	6	b3	V			It	0	0	-1, 3, 9		9	-1	3	4	0.42857142857142855	0.125	0.375	0.25
14	14	0	0	2/4	2	1	V			A	I		V		V							M	0	0	4, 8, 5		4	4	0	11	0.0	0.0	0.875	0.0
14	14	3/8	3/8	2/4	2	1	V7			A	I		V7		V		7					Mm7	0	0	4, 8, 5, 2		4	4	0	4	0.0	0.0	0.25	0.0
15	15	0	0	2/4	2	1	I			A	I		I		I							M	0	0	3, 7, 4		3	3	1	5	0.16666666666666666	0.0625	0.5	0.1111111111111111
15	15	3/8	3/8	2/4	2	1	ii6/V			A	I		ii6/V		ii		6		V			m	0	0	3, 7, 6		6	3	1	2	0.3333333333333333	0.0625	0.1875	0.25
16	16	0	0	2/4	2	1	V(4)/V}			A	I		V(4)/V		V			4	V		}	M	0	0	5, 4, 6		5	5	0	2	0.0	0.0	0.625	0.0
16	16	1/4	1/4	2/4	2	1	V/V|HC			A	I		V/V		V				V	HC		M	0	0	5, 9, 6		5	5	0	1	0.0	0.0	0.125	0.0
17	17	0	0	2/4	2	1	V.V{			A	V		V		V						{	M	0	0	5, 9, 6		5	5	1	5	0.16666666666666666	0.041666666666666664	0.20833333333333334	0.16666666666666666
17	17	1/4	1/4	2/4	2	1	V2			A	V		V2		V		2					Mm7	0	0	3, 5, 9, 6		5	3	1	5	0.16666666666666666	0.041666666666666664	0.20833333333333334	0.16666666666666666
18	18	0	0	2/4	2	1	I6			A	V		I6		I		6					M	0	0	8, 5, 4		4	8	1	5	0.16666666666666666	0.041666666666666664	0.20833333333333334	0.16666666666666666
18	18	1/4	1/4	2/4	2	1	V64			A	V		V64		V		64					M	0	0	6, 5, 9		5	6	1	5	0.16666666666666666	0.041666666666666664	0.20833333333333334	0.16666666666666666
19	19	0	0	2/4	2	1	I			A	V		I		I							M	0	0	4, 8, 5		4	4	1	5	0.16666666666666666	0.041666666666666664	0.20833333333333334	0.16666666666666666
19	19	1/4	1/4	2/4	2	1	V6			A	V		V6		V		6					M	0	0	9, 6, 5		5	9	1	5	0.16666666666666666	0.041666666666666664	0.20833333333333334	0.16666666666666666
20	20	0	0	2/4	2	1	ii7			A	V		ii7		ii		7					mm7	0	0	6, 3, 7, 4		6	6	5	1	0.8333333333333334	0.20833333333333334	0.041666666666666664	0.8333333333333334
20	20	1/4	1/4	2/4	2	1	V			A	V		V		V							M	0	0	5, 9, 6		5	5	1	5	0.16666666666666666	0.041666666666666664	0.20833333333333334	0.16666666666666666
21	21	0	0	2/4	2	1	IV			A	V		IV		IV							M	0	0	3, 7, 4		3	3	3	3	0.5	0.125	0.3333333333333333	0.27272727272727276
21	21	1/4	1/4	2/4	2	1	ii			A	V		ii		ii							m	0	0	6, 3, 7		6	6	3	4	0.42857142857142855	0.125	0.375	0.25
22	22	0	0	2/4	2	1	I6			A	V		I6		I		6					M	0	0	8, 5, 4		4	8	0	14	0.0	0.0	0.875	0.0
23	23	0	0	2/4	2	1	ii			A	V		ii		ii							m	0	0	6, 3, 7		6	6	3	3	0.5	0.125	0.3333333333333333	0.27272727272727276
23	23	1/4	1/4	2/4	2	1	viio		V65	A	V		viio		vii	o						o	0	0	9, 6, 3		9	9	3	4	0.42857142857142855	0.125	0.375	0.25
24	24	0	0	2/4	2	1	I			A	V		I		I							M	0	0	4, 8, 5		4	4	0	14	0.0	0.0	0.875	0.0
25	25	0	0	2/4	2	1	#viio7/ii			A	V		#viio7/ii		#vii	o	7		ii			o7	0	0	11, 8, 5, 2		11	11	0	1	0.0	0.0	0.25	0.0
25	25	1/4	1/4	2/4	2	1	V65/ii			A	V		V65/ii		V		65		ii			Mm7	0	0	11, 8, 5, 7		7	11	1	4	0.2	0.0625	0.4375	0.125
26	26	0	0	2/4	2	1	ii(4)			A	V		ii(4)		ii			4				m	0	0	6, 5, 7		6	6	0	1	0.0	0.0	0.25	0.0
26	26	1/4	1/4	2/4	2	1	ii			A	V		ii		ii							m	0	0	6, 3, 7		6	6	1	4	0.2	0.0625	0.4375	0.125
27	27	0	0	2/4	2	1	V(4)			A	V		V(4)		V			4				M	0	0	5, 4, 6		5	5	0	1	0.0	0.0	0.25	0.0
27	27	1/4	1/4	2/4	2	1	V7			A	V		V7		V		7					Mm7	0	0	5, 9, 6, 3		5	5	1	4	0.2	0.0625	0.4375	0.125
28	28	0	0	2/4	2	1	I}			A	V		I		I						}	M	0	0	4, 8, 5		4	4	2	16	0.1111111111111111	0.16666666666666666	1.3645833333333333	0.10884353741496598
30	30	0	0	2/4	2	1	ii(+7)			A	V		ii(+7)		ii			+7				m	0	0	6, 3, 7	4	6	6	1	8	0.1111111111111111	0.041666666666666664	0.8333333333333334	0.047619047619047616
31	31	0	0	2/4	2	1	I6			A	V		I6		I		6					M	0	0	8, 5, 4		4	8	1	8	0.1111111111111111	0.041666666666666664	0.8333333333333334	0.047619047619047616
32	32	0	0	2/4	2	1	IV			A	V		IV		IV							M	0	0	3, 7, 4		3	3	1	4	0.2	0.041666666666666664	0.3333333333333333	0.1111111111111111
32	32	1/4	1/4	2/4	2	1	ii6			A	V		ii6		ii		6					m	0	0	3, 7, 6		6	3	6	14	0.3	0.25	0.875	0.2222222222222222
34	34	0	0	2/4	2	1	V2(4)			A	V		V2(4)		V		2	4				Mm7	0	0	3, 5, 4, 6		5	3	0	2	0.0	0.0	0.25	0.0
34	34	1/8	1/8	2/4	2	1	V2			A	V		V2		V		2					Mm7	0	0	3, 5, 9, 6		5	3	0	2	0.0	0.0	0.25	0.0
34	34	1/4	1/4	2/4	2	1	I			A	V		I		I							M	0	0	4, 8, 5		4	4	0	4	0.0	0.0	0.46875	0.0
35	35	0	0	2/4	2	1	IV			A	V		IV		IV							M	0	0	3, 7, 4		3	3	2	3	0.4	0.125	0.375	0.25
35	35	1/4	1/4	2/4	2	1	V(64)			A	V		V(64)		V			64				M	0	0	5, 4, 8		5	5	0	2	0.0	0.0	0.25	0.0
35	35	3/8	3/8	2/4	2	1	V			A	V		V		V							M	0	0	5, 9, 6		5	5	0	2	0.0	0.0	0.25	0.0
36	36	0	0	2/4	2	1	I|PAC}			A	V		I		I					PAC	}	M	0	0	4, 8, 5		4	4	2	7	0.2222222222222222	0.03125	0.71875	0.041666666666666664
37	37	0	0	2/4	2	1	V2			A	V		V2		V		2					Mm7	0	0	3, 5, 9, 6		5	3	2	10	0.16666666666666666	0.03125	1.09375	0.027777777777777776
38	38	0	0	2/4	2	1	I6}			A	V		I6		I		6				}	M	0	0	8, 5, 4		4	8	1	5	0.16666666666666666	0.0625	0.34375	0.15384615384615385
39	39	0	0	2/4	2	1	I{			A	V		I		I						{	M	0	0	4, 8, 5		4	4	1	8	0.1111111111111111	0.041666666666666664	0.8333333333333334	0.047619047619047616
40	40	0	0	2/4	2	1	ii(+7)			A	V		ii(+7)		ii			+7				m	0	0	6, 3, 7	4	6	6	1	8	0.1111111111111111	0.041666666666666664	0.8333333333333334	0.047619047619047616
41	41	0	0	2/4	2	1	I6			A	V		I6		I		6					M	0	0	8, 5, 4		4	8	1	8	0.1111111111111111	0.041666666666666664	0.8333333333333334	0.047619047619047616
42	42	0	0	2/4	2	1	IV			A	V		IV		IV							M	0	0	3, 7, 4		3	3	1	4	0.2	0.041666666666666664	0.3333333333333333	0.1111111111111111
42	42	1/4	1/4	2/4	2	1	ii6			A	V		ii6		ii		6					m	0	0	3, 7, 6		6	3	9	10	0.47368421052631576	0.375	0.5	0.42857142857142855
44	44	0	0	2/4	2	1	V2			A	V		V2		V		2					Mm7	0	0	3, 5, 9, 6		5	3	2	5	0.2857142857142857	0.08333333333333333	0.2916666666666667	0.2222222222222222
44	44	1/4	1/4	2/4	2	1	I6			A	V		I6		I		6					M	0	0	8, 5, 4		4	8	2	2	0.5	0.08333333333333333	0.16666666666666666	0.3333333333333333
44	44	3/8	3/8	2/4	2	1	I			A	V		I		I							M	0	0	4, 8, 5		4	4	1	3	0.25	0.041666666666666664	0.20833333333333334	0.16666666666666666
45	45	0	0	2/4	2	1	IV		ii6	A	V		IV		IV							M	0	0	3, 7, 4		3	3	3	3	0.5	0.09375	0.40625	0.1875
45	45	1/4	1/4	2/4	2	1	V(4)			A	V		V(4)		V			4				M	0	0	5, 4, 6		5	5	0	2	0.0	0.0	0.375	0.0
45	45	3/8	3/8	2/4	2	1	V			A	V		V		V							M	0	0	5, 9, 6		5	5	0	1	0.0	0.0	0.125	0.0
46	46	0	0	2/4	2	1	I|PAC}	1		A	V		I		I					PAC	}	M	0	0	4, 8, 5		4	4	2	6	0.25	0.125	0.625	0.16666666666666666
47	46	0	0	2/4	2	1	I|PAC}	2		A	V		I		I					PAC	}	M	0	0	4, 8, 5		4	4	1	23	0.041666666666666664	0.041666666666666664	2.0833333333333335	0.0196078431372549
49	48	0	0	2/4	2	1	IV			A	V		IV		IV							M	0	0	3, 7, 4		3	3	1	15	0.0625	0.041666666666666664	1.3333333333333333	0.0303030303030303
50	49	0	0	2/4	2	1	I6			A	V		I6		I		6					M	0	0	8, 5, 4		4	8	1	5	0.16666666666666666	0.041666666666666664	0.20833333333333334	0.16666666666666666
50	49	1/4	1/4	2/4	2	1	ii			A	V		ii		ii							m	0	0	6, 3, 7		6	6	2	4	0.3333333333333333	0.08333333333333333	0.16666666666666666	0.3333333333333333
51	50	0	0	2/4	2	1	I			A	V		I		I							M	0	0	4, 8, 5		4	4	0	3	0.0	0.0	0.125	0.0
51	50	1/8	1/8	2/4	2	1	I6			A	V		I6		I		6					M	0	0	8, 5, 4		4	8	0	4	0.0	0.0	0.25	0.0
51	50	1/4	1/4	2/4	2	1	V6			A	V		V6		V		6					M	0	0	9, 6, 5		5	9	0	3	0.0	0.0	0.125	0.0
51	50	3/8	3/8	2/4	2	1	V7			A	V		V7		V		7					Mm7	0	0	5, 9, 6, 3		5	5	0	4	0.0	0.0	0.25	0.0
52	51	0	0	2/4	2	1	I			A	V		I		I							M	0	0	4, 8, 5		4	4	0	3	0.0	0.0	0.125	0.0
52	51	1/8	1/8	2/4	2	1	I6			A	V		I6		I		6					M	0	0	8, 5, 4		4	8	0	4	0.0	0.0	0.25	0.0
52	51	1/4	1/4	2/4	2	1	V6			A	V		V6		V		6					M	0	0	9, 6, 5		5	9	0	3	0.0	0.0	0.125	0.0
52	51	3/8	3/8	2/4	2	1	V7			A	V		V7		V		7					Mm7	0	0	5, 9, 6, 3		5	5	0	6	0.0	0.0	0.25	0.0
53	52	0	0	2/4	2	1	I			A	V		I		I							M	0	0	4, 8, 5		4	4	2	4	0.3333333333333333	0.08333333333333333	0.16666666666666666	0.3333333333333333
53	52	1/8	1/8	2/4	2	1	IV			A	V		IV		IV							M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	0.25	0.0
53	52	3/8	3/8	2/4	2	1	I6			A	V		I6		I		6					M	0	0	8, 5, 4		4	8	0	4	0.0	0.0	0.375	0.0
54	53	0	0	2/4	2	1	ii7(4)		viio6(62)	A	V		ii7(4)		ii		7	4				mm7	0	0	6, 5, 7, 4		6	6	2	3	0.4	0.25	0.5	0.3333333333333333
54	53	1/4	1/4	2/4	2	1	I|IAC}			A	V		I		I					IAC	}	M	0	0	4, 8, 5		4	4	0	4	0.0	0.0	0.5	0.0
55	54	0	0	2/4	2	1	V65/vi			A	V		V65/vi		V		65		vi			Mm7	0	0	12, 9, 6, 8		8	12	2	5	0.2857142857142857	0.08333333333333333	0.4166666666666667	0.16666666666666666
55	54	1/4	1/4	2/4	2	1	vi			A	V		vi		vi							m	0	0	7, 4, 8		7	7	0	3	0.0	0.0	0.375	0.0
56	55	0	0	2/4	2	1	V65/IV			A	V		V65/IV		V		65		IV			Mm7	0	0	8, 5, 2, 4		4	8	3	4	0.42857142857142855	0.125	0.375	0.25
56	55	1/4	1/4	2/4	2	1	IV			A	V		IV		IV							M	0	0	3, 7, 4		3	3	0	3	0.0	0.0	0.375	0.0
57	56	0	0	2/4	2	1	V65/ii			A	V		V65/ii		V		65		ii			Mm7	0	0	11, 8, 5, 7		7	11	2	5	0.2857142857142857	0.08333333333333333	0.4166666666666667	0.16666666666666666
57	56	1/4	1/4	2/4	2	1	ii			A	V		ii		ii							m	0	0	6, 3, 7		6	6	1	3	0.25	0.041666666666666664	0.3333333333333333	0.1111111111111111
57	56	3/8	3/8	2/4	2	1	vii%65			A	V		vii%65		vii	%	65					%7	0	0	6, 3, 7, 9		9	6	1	2	0.3333333333333333	0.041666666666666664	0.08333333333333333	0.3333333333333333
58	57	0	0	2/4	2	1	I6			A	V		I6		I		6					M	0	0	8, 5, 4		4	8	1	3	0.25	0.041666666666666664	0.3333333333333333	0.1111111111111111
58	57	1/8	1/8	2/4	2	1	#viio65/ii			A	V		#viio65/ii		#vii	o	65		ii			o7	0	0	8, 5, 2, 11		11	8	1	2	0.3333333333333333	0.041666666666666664	0.08333333333333333	0.3333333333333333
58	57	1/4	1/4	2/4	2	1	ii6			A	V		ii6		ii		6					m	0	0	3, 7, 6		6	3	3	4	0.42857142857142855	0.125	0.375	0.25
59	58	0	0	2/4	2	1	iv/ii			A	V		iv/ii		iv				ii			m	0	0	5, 2, 6		5	5	6	7	0.46153846153846156	0.25	0.75	0.25
60	59	0	0	2/4	2	1	V(4)/ii}			A	V		V(4)/ii		V			4	ii		}	M	0	0	7, 6, 8		7	7	0	2	0.0	0.0	0.625	0.0
60	59	1/4	1/4	2/4	2	1	V/ii|HC			A	V		V/ii		V				ii	HC		M	0	0	7, 11, 8		7	7	1	1	0.5	0.125	0.125	0.5
61	60	0	0	2/4	2	1	vi.V{			A	vi		V		V						{	M	0	1	7, 11, 8		7	7	1	5	0.16666666666666666	0.041666666666666664	0.20833333333333334	0.16666666666666666
61	60	1/4	1/4	2/4	2	1	V2			A	vi		V2		V		2					Mm7	0	1	5, 7, 11, 8		7	5	1	5	0.16666666666666666	0.041666666666666664	0.20833333333333334	0.16666666666666666
62	61	0	0	2/4	2	1	i6			A	vi		i6		i		6					m	0	1	3, 7, 6		6	3	1	5	0.16666666666666666	0.041666666666666664	0.20833333333333334	0.16666666666666666
62	61	1/4	1/4	2/4	2	1	V64			A	vi		V64		V		64					M	0	1	8, 7, 11		7	8	1	5	0.16666666666666666	0.041666666666666664	0.20833333333333334	0.16666666666666666
63	62	0	0	2/4	2	1	I			A	vi		I		I							M	0	1	6, 10, 7		6	6	1	5	0.16666666666666666	0.041666666666666664	0.20833333333333334	0.16666666666666666
63	62	1/4	1/4	2/4	2	1	V6			A	vi		V6		V		6					M	0	1	11, 8, 7		7	11	1	5	0.16666666666666666	0.041666666666666664	0.20833333333333334	0.16666666666666666
64	63	0	0	2/4	2	1	#vio(+7)			A	vi		#vio(+7)		#vi	o		+7				o	0	1	9, 6, 3	7	9	9	0	6	0.0	0.0	0.25	0.0
64	63	1/4	1/4	2/4	2	1	V			A	vi		V		V							M	0	1	7, 11, 8		7	7	1	5	0.16666666666666666	0.041666666666666664	0.20833333333333334	0.16666666666666666
65	64	0	0	2/4	2	1	bII6			A	vi		bII6		bII		6					M	0	1	5, 2, 1		1	5	5	8	0.38461538461538464	0.20833333333333334	0.7916666666666666	0.20833333333333334
66	65	0	0	2/4	2	1	i6			A	vi		i6		i		6					m	0	1	3, 7, 6		6	3	5	8	0.38461538461538464	0.20833333333333334	0.7916666666666666	0.20833333333333334
67	66	0	0	2/4	2	1	V2/VII			A	vi		V2/VII		V		2		VII			Mm7	0	1	3, 5, 9, 6		5	3	3	10	0.23076923076923078	0.125	0.875	0.125
68	67	0	0	2/4	2	1	VII6			A	vi		VII6		VII		6					M	0	1	8, 5, 4		4	8	1	5	0.16666666666666666	0.125	0.2916666666666667	0.3
68	67	1/4	1/4	2/4	2	1	#viio7			A	vi		#viio7		#vii	o	7					o7	0	1	11, 8, 5, 2		11	11	2	4	0.3333333333333333	0.08333333333333333	0.375	0.18181818181818182
69	68	0	0	2/4	2	1	i			A	vi		i		i							m	0	1	6, 3, 7		6	6	2	2	0.5	0.08333333333333333	0.16666666666666666	0.3333333333333333
69	68	1/8	1/8	2/4	2	1	iv			A	vi		iv		iv							m	0	1	5, 2, 6		5	5	2	2	0.5	0.08333333333333333	0.16666666666666666	0.3333333333333333
69	68	1/4	1/4	2/4	2	1	V(64)			A	vi		V(64)		V			64				M	0	1	7, 6, 3		7	7	0	2	0.0	0.0	0.25	0.0
69	68	3/8	3/8	2/4	2	1	V			A	vi		V		V							M	0	1	7, 11, 8		7	7	1	2	0.3333333333333333	0.0625	0.1875	0.25
70	69	0	0	2/4	2	1	V(4)/VII|EC			A	vi		V(4)/VII		V			4	VII	EC		M	0	1	5, 4, 6		5	5	0	1	0.0	0.0	0.25	0.0
70	69	1/4	1/4	2/4	2	1	V7/VII			A	vi		V7/VII		V		7		VII			Mm7	0	1	5, 9, 6, 3		5	5	1	4	0.2	0.0625	0.4375	0.125
71	70	0	0	2/4	2	1	V(4)/III			A	vi		V(4)/III		V			4	III			M	0	1	4, 3, 5		4	4	1	2	0.3333333333333333	0.0	0.25	0.0
71	70	1/4	1/4	2/4	2	1	V7/III			A	vi		V7/III		V		7		III			Mm7	0	1	4, 8, 5, 2		4	4	1	4	0.2	0.0625	0.4375	0.125
72	71	0	0	2/4	2	1	III(4)}			A	vi		III(4)		III			4			}	M	0	1	3, 2, 4		3	3	1	3	0.25	0.0	0.625	0.0
72	71	1/4	1/4	2/4	2	1	III|IAC			A	vi		III		III					IAC		M	0	1	3, 7, 4		3	3	0	1	0.0	0.0	0.125	0.0
73	72	0	0	2/4	2	1	i6{			A	vi		i6		i		6				{	m	0	1	3, 7, 6		6	3	0	4	0.0	0.0	0.3125	0.0
73	72	1/4	1/4	2/4	2	1	#viio6			A	vi		#viio6		#vii	o	6					o	0	1	8, 5, 11		11	8	1	2	0.3333333333333333	0.0625	0.1875	0.25
73	72	3/8	3/8	2/4	2	1	#viio			A	vi		#viio		#vii	o						o	0	1	11, 8, 5		11	11	0	3	0.0	0.0	0.25	0.0
74	73	0	0	2/4	2	1	i			A	vi		i		i							m	0	1	6, 3, 7		6	6	0	3	0.0	0.0	0.25	0.0
74	73	1/8	1/8	2/4	2	1	i6			A	vi		i6		i		6					m	0	1	3, 7, 6		6	3	0	3	0.0	0.0	0.25	0.0
74	73	1/4	1/4	2/4	2	1	#viio6			A	vi		#viio6		#vii	o	6					o	0	1	8, 5, 11		11	8	1	2	0.3333333333333333	0.0625	0.1875	0.25
74	73	3/8	3/8	2/4	2	1	#viio			A	vi		#viio		#vii	o						o	0	1	11, 8, 5		11	11	0	3	0.0	0.0	0.25	0.0
75	74	0	0	2/4	2	1	i			A	vi		i		i							m	0	1	6, 3, 7		6	6	0	3	0.0	0.0	0.25	0.0
75	74	1/8	1/8	2/4	2	1	i6			A	vi		i6		i		6					m	0	1	3, 7, 6		6	3	0	3	0.0	0.0	0.25	0.0
75	74	1/4	1/4	2/4	2	1	ii/VI			A	vi		ii/VI		ii				VI			m	0	1	4, 1, 5		4	4	0	10	0.0	0.0	0.625	0.0
76	75	0	0	2/4	2	1	IV64/VI			A	vi		IV64/VI		IV		64		VI			M	0	1	2, 1, 5		1	2	0	10	0.0	0.0	0.625	0.0
76	75	1/4	1/4	2/4	2	1	V65/VI			A	vi		V65/VI		V		65		VI			Mm7	0	1	7, 4, 1, 3		3	7	0	10	0.0	0.0	0.625	0.0
77	76	0	0	2/4	2	1	VI			A	vi		VI		VI							M	0	1	2, 6, 3		2	2	0	10	0.0	0.0	0.5	0.0
77	76	1/4	1/4	2/4	2	1	#viio7/vii			A	vi		#viio7/vii		#vii	o	7		vii			o7	0	1	9, 6, 3, 0		9	9	0	12	0.0	0.0	0.75	0.0
78	77	0	0	2/4	2	1	vii			A	vi		vii		vii							m	0	1	4, 1, 5		4	4	4	6	0.4	0.125	0.375	0.25
78	77	1/4	1/4	2/4	2	1	#viio7			A	vi		#viio7		#vii	o	7					o7	0	1	11, 8, 5, 2		11	11	0	12	0.0	0.0	0.75	0.0
79	78	0	0	2/4	2	1	I			A	vi		I		I							M	0	1	6, 10, 7		6	6	0	10	0.0	0.0	0.5	0.0
79	78	1/4	1/4	2/4	2	1	viio7/V/v			A	vi		viio7/V/v		vii	o	7		V/v			o7	0	1	13, 10, 7, 4		13	13	0	12	0.0	0.0	0.75	0.0
80	79	0	0	2/4	2	1	V(64)/V}			A	vi		V(64)/V		V			64	V		}	M	0	1	8, 7, 11		8	8	1	2	0.3333333333333333	0.25	0.625	0.2857142857142857
80	79	1/4	1/4	2/4	2	1	V/V|HC			A	vi		V/V		V				V	HC		M	0	1	8, 12, 9		8	8	0	2	0.0	0.0	0.25	0.0
81	80	0	0	2/4	2	1	iii.i{			A	iii		i		i						{	m	0	1	7, 4, 8		7	7	1	15	0.0625	0.041666666666666664	1.3333333333333333	0.0303030303030303
82	81	0	0	2/4	2	1	iv			A	iii		iv		iv							m	0	1	6, 3, 7		6	6	1	15	0.0625	0.041666666666666664	1.3333333333333333	0.0303030303030303
83	82	0	0	2/4	2	1	i6			A	iii		i6		i		6					m	0	1	4, 8, 7		7	4	1	5	0.16666666666666666	0.041666666666666664	0.20833333333333334	0.16666666666666666
83	82	1/4	1/4	2/4	2	1	iio			A	iii		iio		ii	o						o	0	1	9, 6, 3		9	9	2	4	0.3333333333333333	0.08333333333333333	0.16666666666666666	0.3333333333333333
84	83	0	0	2/4	2	1	i			A	iii		i		i							m	0	1	7, 4, 8		7	7	0	3	0.0	0.0	0.125	0.0
84	83	1/8	1/8	2/4	2	1	V2			A	iii		V2		V		2					Mm7	0	1	6, 8, 12, 9		8	6	0	4	0.0	0.0	0.25	0.0
84	83	1/4	1/4	2/4	2	1	i6			A	iii		i6		i		6					m	0	1	4, 8, 7		7	4	0	4	0.0	0.0	0.25	0.0
84	83	3/8	3/8	2/4	2	1	V65			A	iii		V65		V		65					Mm7	0	1	12, 9, 6, 8		8	12	0	4	0.0	0.0	0.25	0.0
85	84	0	0	2/4	2	1	i			A	iii		i		i							m	0	1	7, 4, 8		7	7	0	4	0.0	0.0	0.25	0.0
85	84	1/8	1/8	2/4	2	1	V2			A	iii		V2		V		2					Mm7	0	1	6, 8, 12, 9		8	6	0	4	0.0	0.0	0.25	0.0
85	84	1/4	1/4	2/4	2	1	i6			A	iii		i6		i		6					m	0	1	4, 8, 7		7	4	0	4	0.0	0.0	0.25	0.0
85	84	3/8	3/8	2/4	2	1	V65			A	iii		V65		V		65					Mm7	0	1	12, 9, 6, 8		8	12	0	4	0.0	0.0	0.25	0.0
86	85	0	0	2/4	2	1	i			A	iii		i		i							m	0	1	7, 4, 8		7	7	0	3	0.0	0.0	0.20833333333333334	0.0
86	85	1/8	1/8	2/4	2	1	ii%7			A	iii		ii%7		ii	%	7					%7	0	1	9, 6, 3, 7		9	9	0	3	0.0	0.0	0.20833333333333334	0.0
86	85	1/4	1/4	2/4	2	1	i6			A	iii		i6		i		6					m	0	1	4, 8, 7		7	4	0	3	0.0	0.0	0.20833333333333334	0.0
86	85	3/8	3/8	2/4	2	1	#viio6			A	iii		#viio6		#vii	o	6					o	0	1	9, 6, 12		12	9	3	0	1.0	0.20833333333333334	0.0	1.0
87	86	0	0	2/4	2	1	#viio6			A	iii		#viio6		#vii	o	6					o	0	1	9, 6, 12		12	9	0	3	0.0	0.0	0.20833333333333334	0.0
87	86	1/8	1/8	2/4	2	1	i			A	iii		i		i							m	0	1	7, 4, 8		7	7	0	3	0.0	0.0	0.20833333333333334	0.0
87	86	1/4	1/4	2/4	2	1	#viio7			A	iii		#viio7		#vii	o	7					o7	0	1	12, 9, 6, 3		12	12	1	5	0.16666666666666666	0.041666666666666664	0.4166666666666667	0.0909090909090909
