mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
27	27	0	0	4/4	2	1	I[I{			A	V	I	I		I						{	M	0	0	4, 8, 5		4	4	1	9	0.1	0.0625	1.1875	0.05
27	27	3/4	3/4	4/4	2	1	viio64			A	V	I	viio64		vii	o	64					o	0	0	3, 9, 6		9	3	1	3	0.25	0.125	0.375	0.25
28	28	0	0	4/4	2	1	I			A	V	I	I		I							M	0	0	4, 8, 5		4	4	1	4	0.2	0.0625	0.4375	0.125
28	28	1/2	1/2	4/4	2	1	viio			A	V	I	viio		vii	o						o	0	0	9, 6, 3		9	9	1	3	0.25	0.125	0.375	0.25
28	28	3/4	3/4	4/4	2	1	I			A	V	I	I		I							M	0	0	4, 8, 5		4	4	1	11	0.08333333333333333	0.0625	1.5625	0.038461538461538464
29	29	3/4	3/4	4/4	2	1	ii			A	V	I	ii		ii							m	0	0	6, 3, 7		6	6	1	2	0.3333333333333333	0.125	0.5	0.2
30	30	0	0	4/4	2	1	I}			A	V	I	I		I						}	M	0	0	4, 8, 5		4	4	1	4	0.2	0.0625	0.4375	0.125
30	30	1/2	1/2	4/4	2	1	IV			A	V	I	IV		IV							M	0	0	3, 7, 4		3	3	0	3	0.0	0.0	0.625	0.0
30	30	3/4	3/4	4/4	2	1	I]			A	V	I	I		I							M	0	0	4, 8, 5		4	4	0	3	0.0	0.0	0.625	0.0
31	31	0	0	4/4	2	1	V65/V{			A	V		V65/V		V		65		V		{	Mm7	0	0	10, 7, 4, 6		6	10	0	16	0.0	0.0	1.5	0.0
31	31	1/2	1/2	4/4	2	1	V2			A	V		V2		V		2					Mm7	0	0	3, 5, 9, 6		5	3	0	16	0.0	0.0	1.5	0.0
32	32	0	0	4/4	2	1	#viio65/ii			A	V		#viio65/ii		#vii	o	65		ii			o7	0	0	8, 5, 2, 11		11	8	0	16	0.0	0.0	1.5	0.0
32	32	1/2	1/2	4/4	2	1	IV7			A	V		IV7		IV		7					Mm7	0	0	3, 7, 4, 1		3	3	0	16	0.0	0.0	1.5	0.0
33	33	0	0	4/4	2	1	viio65			A	V		viio65		vii	o	65					o7	0	0	6, 3, 0, 9		9	6	0	8	0.0	0.0	0.75	0.0
33	33	1/4	1/4	4/4	2	1	I6			A	V		I6		I		6					M	0	0	8, 5, 4		4	8	0	8	0.0	0.0	0.75	0.0
33	33	1/2	1/2	4/4	2	1	viio6(+6)		V43	A	V		viio6(+6)		vii	o	6	+6				o	0	0	6, 3, 9	5	9	6	0	8	0.0	0.0	0.75	0.0
33	33	3/4	3/4	4/4	2	1	vi6(+7)			A	V		vi6(+7)		vi		6	+7				m	0	0	4, 8, 7	5	7	4	0	8	0.0	0.0	0.75	0.0
34	34	0	0	4/4	2	1	V6			A	V		V6		V		6					M	0	0	9, 6, 5		5	9	0	8	0.0	0.0	0.75	0.0
34	34	1/4	1/4	4/4	2	1	vi7			A	V		vi7		vi		7					mm7	0	0	7, 4, 8, 5		7	7	0	8	0.0	0.0	0.75	0.0
34	34	1/2	1/2	4/4	2	1	V			A	V		V		V							M	0	0	5, 9, 6		5	5	0	8	0.0	0.0	0.75	0.0
34	34	3/4	3/4	4/4	2	1	IV(+9)			A	V		IV(+9)		IV			+9				M	0	0	3, 7, 4	5	3	3	0	8	0.0	0.0	0.75	0.0
35	35	0	0	4/4	2	1	I6			A	V		I6		I		6					M	0	0	8, 5, 4		4	8	0	8	0.0	0.0	0.75	0.0
35	35	1/4	1/4	4/4	2	1	I			A	V		I		I							M	0	0	4, 8, 5		4	4	0	8	0.0	0.0	0.5	0.0
35	35	1/2	1/2	4/4	2	1	V6			A	V		V6		V		6					M	0	0	9, 6, 5		5	9	0	8	0.0	0.0	0.5	0.0
35	35	3/4	3/4	4/4	2	1	vi7			A	V		vi7		vi		7					mm7	0	0	7, 4, 8, 5		7	7	0	8	0.0	0.0	0.5	0.0
36	36	0	0	4/4	2	1	V			A	V		V		V							M	0	0	5, 9, 6		5	5	0	8	0.0	0.0	0.5	0.0
36	36	1/4	1/4	4/4	2	1	IV(+9)			A	V		IV(+9)		IV			+9				M	0	0	3, 7, 4	5	3	3	0	8	0.0	0.0	0.5	0.0
36	36	1/2	1/2	4/4	2	1	I6			A	V		I6		I		6					M	0	0	8, 5, 4		4	8	0	8	0.0	0.0	0.5	0.0
36	36	3/4	3/4	4/4	2	1	V43		ii(+4)	A	V		V43		V		43					Mm7	0	0	6, 3, 5, 9		5	6	0	8	0.0	0.0	0.5	0.0
37	37	0	0	4/4	2	1	I			A	V		I		I							M	0	0	4, 8, 5		4	4	0	5	0.0	0.0	0.5	0.0
37	37	1/4	1/4	4/4	2	1	I6			A	V		I6		I		6					M	0	0	8, 5, 4		4	8	1	4	0.2	0.0625	0.4375	0.125
37	37	1/2	1/2	4/4	2	1	ii6			A	V		ii6		ii		6					m	0	0	3, 7, 6		6	3	1	4	0.2	0.0625	0.4375	0.125
37	37	3/4	3/4	4/4	2	1	V7			A	V		V7		V		7					Mm7	0	0	5, 9, 6, 3		5	5	1	4	0.2	0.0625	0.4375	0.125
38	38	0	0	4/4	2	1	vi			A	V		vi		vi							m	0	0	7, 4, 8		7	7	0	3	0.0	0.0	0.25	0.0
38	38	1/8	1/8	4/4	2	1	IV			A	V		IV		IV							M	0	0	3, 7, 4		3	3	0	3	0.0	0.0	0.25	0.0
38	38	1/4	1/4	4/4	2	1	V			A	V		V		V							M	0	0	5, 9, 6		5	5	0	2	0.0	0.0	0.5	0.0
38	38	1/2	1/2	4/4	2	1	I[I|PAC}			A	V	I	I		I					PAC	}	M	0	0	4, 8, 5		4	4	1	10	0.09090909090909091	0.0625	1.4375	0.041666666666666664
39	39	1/2	1/2	4/4	2	1	viio			A	V	I	viio		vii	o						o	0	0	9, 6, 3		9	9	2	7	0.2222222222222222	0.1875	0.8125	0.1875
40	40	0	0	4/4	2	1	I			A	V	I	I		I							M	0	0	4, 8, 5		4	4	1	8	0.1111111111111111	0.0625	0.9375	0.0625
40	40	1/2	1/2	4/4	2	1	viio			A	V	I	viio		vii	o						o	0	0	9, 6, 3		9	9	2	7	0.2222222222222222	0.1875	0.8125	0.1875
41	41	0	0	4/4	2	1	I]			A	V	I	I		I							M	0	0	4, 8, 5		4	4	1	4	0.2	0.0625	0.4375	0.125
41	41	1/4	1/4	4/4	2	1	viio6			A	V		viio6		vii	o	6					o	0	0	6, 3, 9		9	6	2	3	0.4	0.125	0.375	0.25
41	41	1/2	1/2	4/4	2	1	I6			A	V		I6		I		6					M	0	0	8, 5, 4		4	8	4	5	0.4444444444444444	0.25	0.75	0.25
42	42	0	0	4/4	2	1	IV	1		A	V		IV		IV							M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	0.5	0.0
42	42	1/4	1/4	4/4	2	1	V	1		A	V		V		V							M	0	0	5, 9, 6		5	5	1	3	0.25	0.03125	0.46875	0.0625
42	42	1/2	1/2	4/4	2	1	I|PAC}	1		A	V		I		I					PAC	}	M	0	0	4, 8, 5		4	4	3	5	0.375	0.1875	0.5625	0.25
43	42	0	0	4/4	2	1	IV	2		A	V		IV		IV							M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	0.5	0.0
43	42	1/4	1/4	4/4	2	1	V	2		A	V		V		V							M	0	0	5, 9, 6		5	5	1	3	0.25	0.03125	0.46875	0.0625
43	42	1/2	1/2	4/4	2	1	I[I|PAC}	2		A	V	I	I		I					PAC	}	M	0	0	4, 8, 5		4	4	1	19	0.05	0.0625	2.9375	0.020833333333333332
45	44	0	0	4/4	2	1	ii6			A	V	I	ii6		ii		6					m	0	0	3, 7, 6		6	3	1	2	0.3333333333333333	0.125	0.25	0.3333333333333333
45	44	1/4	1/4	4/4	2	1	viio6			A	V	I	viio6		vii	o	6					o	0	0	6, 3, 9		9	6	1	2	0.3333333333333333	0.125	0.25	0.3333333333333333
45	44	1/2	1/2	4/4	2	1	I			A	V	I	I		I							M	0	0	4, 8, 5		4	4	0	3	0.0	0.0	0.375	0.0
45	44	3/4	3/4	4/4	2	1	viio			A	V	I	viio		vii	o						o	0	0	9, 6, 3		9	9	1	2	0.3333333333333333	0.125	0.25	0.3333333333333333
46	45	0	0	4/4	2	1	I			A	V	I	I		I							M	0	0	4, 8, 5		4	4	1	14	0.06666666666666667	0.0625	2.1875	0.027777777777777776
47	46	0	0	4/4	2	1	IV6			A	V	I	IV6		IV		6					M	0	0	7, 4, 3		3	7	0	3	0.0	0.0	0.375	0.0
47	46	1/4	1/4	4/4	2	1	ii6			A	V	I	ii6		ii		6					m	0	0	3, 7, 6		6	3	1	2	0.3333333333333333	0.125	0.25	0.3333333333333333
47	46	1/2	1/2	4/4	2	1	IV		ii6	A	V	I	IV		IV							M	0	0	3, 7, 4		3	3	0	3	0.0	0.0	0.375	0.0
47	46	3/4	3/4	4/4	2	1	viio6			A	V	I	viio6		vii	o	6					o	0	0	6, 3, 9		9	6	1	2	0.3333333333333333	0.125	0.25	0.3333333333333333
48	47	0	0	4/4	2	1	I]}{			A	V	I	I		I						}{	M	0	0	4, 8, 5		4	4	1	9	0.1	0.0625	1.5625	0.038461538461538464
48	47	1/2	1/2	4/4	2	1	V6			A	V		V6		V		6					M	0	0	9, 6, 5		5	9	0	9	0.0	0.0	0.75	0.0
49	48	0	0	4/4	2	1	ii			A	V		ii		ii							m	0	0	6, 3, 7		6	6	1	8	0.1111111111111111	0.0625	1.3125	0.045454545454545456
49	48	1/2	1/2	4/4	2	1	vi6			A	V		vi6		vi		6					m	0	0	4, 8, 7		7	4	0	9	0.0	0.0	0.75	0.0
50	49	0	0	4/4	2	1	iii			A	V		iii		iii							m	0	0	8, 5, 9		8	8	1	8	0.1111111111111111	0.0625	1.3125	0.045454545454545456
50	49	1/2	1/2	4/4	2	1	v6			A	V		v6		v		6					m	0	0	2, 6, 5		5	2	5	2	0.7142857142857143	0.3125	0.3125	0.5
50	49	7/8	7/8	4/4	2	1	iii6/V			A	V		iii6/V		iii		6		V			m	0	0	6, 10, 9		9	6	0	4	0.0	0.0	0.25	0.0
51	50	0	0	4/4	2	1	IVM65/V			A	V		IVM65/V		IV	M	65		V			MM7	0	0	8, 5, 9, 4		4	8	0	8	0.0	0.0	0.5	0.0
51	50	1/4	1/4	4/4	2	1	viio/V			A	V		viio/V		vii	o			V			o	0	0	10, 7, 4		10	10	0	8	0.0	0.0	0.5	0.0
51	50	1/2	1/2	4/4	2	1	I(9)/V			A	V		I(9)/V		I			9	V			M	0	0	5, 9, 6	7	5	5	0	5	0.0	0.0	0.5	0.0
51	50	3/4	3/4	4/4	2	1	I/V			A	V		I/V		I				V			M	0	0	5, 9, 6		5	5	0	2	0.0	0.0	0.125	0.0
51	50	7/8	7/8	4/4	2	1	III6/iii			A	V		III6/iii		III		6		iii			M	0	0	9, 6, 5		5	9	0	4	0.0	0.0	0.25	0.0
52	51	0	0	4/4	2	1	IV7/iii			A	V		IV7/iii		IV		7		iii			Mm7	0	0	7, 11, 8, 5		7	7	0	8	0.0	0.0	0.5	0.0
52	51	1/4	1/4	4/4	2	1	#viio/iii			A	V		#viio/iii		#vii	o			iii			o	0	0	13, 10, 7		13	13	0	8	0.0	0.0	0.5	0.0
52	51	1/2	1/2	4/4	2	1	i(9)/iii			A	V		i(9)/iii		i			9	iii			m	0	0	8, 5, 9	10	8	8	0	5	0.0	0.0	0.5	0.0
52	51	3/4	3/4	4/4	2	1	i/iii			A	V		i/iii		i				iii			m	0	0	8, 5, 9		8	8	0	2	0.0	0.0	0.125	0.0
52	51	7/8	7/8	4/4	2	1	iii6			A	V		iii6		iii		6					m	0	0	5, 9, 8		8	5	0	4	0.0	0.0	0.25	0.0
53	52	0	0	4/4	2	1	vii%65/V			A	V		vii%65/V		vii	%	65		V			%7	0	0	7, 4, 8, 10		10	7	0	8	0.0	0.0	0.5	0.0
53	52	1/4	1/4	4/4	2	1	viio			A	V		viio		vii	o						o	0	0	9, 6, 3		9	9	0	8	0.0	0.0	0.5	0.0
53	52	1/2	1/2	4/4	2	1	I(9)			A	V		I(9)		I			9				M	0	0	4, 8, 5	6	4	4	1	5	0.16666666666666666	0.125	0.375	0.25
53	52	3/4	3/4	4/4	2	1	vi			A	V		vi		vi							m	0	0	7, 4, 8		7	7	1	5	0.16666666666666666	0.125	0.375	0.25
54	53	0	0	4/4	2	1	iio64/vi			A	V		iio64/vi		ii	o	64		vi			o	0	0	3, 9, 6		9	3	0	5	0.0	0.0	0.5	0.0
54	53	1/4	1/4	4/4	2	1	viio7/V/vi			A	V		viio7/V/vi		vii	o	7		V/vi			o7	0	0	13, 10, 7, 4		13	13	0	5	0.0	0.0	0.5	0.0
54	53	1/2	1/2	4/4	2	1	iii.V7}{			A	iii		V7		V		7				}{	Mm7	0	1	8, 12, 9, 6		8	8	3	13	0.1875	0.1875	0.8125	0.1875
55	54	1/2	1/2	4/4	2	1	i64		V(64)	A	iii		i64		i		64					m	0	1	8, 7, 4		7	8	0	8	0.0	0.0	0.5	0.0
56	55	0	0	4/4	2	1	V7			A	iii		V7		V		7					Mm7	0	1	8, 12, 9, 6		8	8	3	5	0.375	0.1875	0.3125	0.375
56	55	1/2	1/2	4/4	2	1	i64		V(64)	A	iii		i64		i		64					m	0	1	8, 7, 4		7	8	0	8	0.0	0.0	0.5	0.0
57	56	0	0	4/4	2	1	Ger6			A	iii		Ger6	Ger	vii	o	65	b3	V			Ger	0	1	3, 7, 4, 13		13	3	0	8	0.0	0.0	0.5	0.0
57	56	1/2	1/2	4/4	2	1	V(64)			A	iii		V(64)		V			64				M	0	1	8, 7, 4		8	8	0	8	0.0	0.0	0.5	0.0
58	57	0	0	4/4	2	1	Ger6			A	iii		Ger6	Ger	vii	o	65	b3	V			Ger	0	1	3, 7, 4, 13		13	3	2	6	0.25	0.125	0.375	0.25
58	57	1/2	1/2	4/4	2	1	V(64)			A	iii		V(64)		V			64				M	0	1	8, 7, 4		8	8	0	8	0.0	0.0	0.5	0.0
59	58	0	0	4/4	2	1	Ger6			A	iii		Ger6	Ger	vii	o	65	b3	V			Ger	0	1	3, 7, 4, 13		13	3	1	15	0.0625	0.0625	0.9375	0.0625
60	59	0	0	4/4	2	1	V7			A	iii		V7		V		7					Mm7	0	1	8, 12, 9, 6		8	8	0	16	0.0	0.0	1.0	0.0
61	60	0	0	4/4	2	1	i6}{			A	iii		i6		i		6				}{	m	0	1	4, 8, 7		7	4	0	4	0.0	0.0	0.25	0.0
61	60	1/4	1/4	4/4	2	1	VII6			A	iii		VII6		VII		6					M	0	1	9, 6, 5		5	9	0	4	0.0	0.0	0.25	0.0
61	60	1/2	1/2	4/4	2	1	VI6			A	iii		VI6		VI		6					M	0	1	7, 4, 3		3	7	0	4	0.0	0.0	0.25	0.0
61	60	3/4	3/4	4/4	2	1	V6			A	iii		V6		V		6					M	0	1	12, 9, 8		8	12	0	4	0.0	0.0	0.25	0.0
62	61	0	0	4/4	2	1	VI6			A	iii		VI6		VI		6					M	0	1	7, 4, 3		3	7	0	4	0.0	0.0	0.25	0.0
62	61	1/4	1/4	4/4	2	1	v6			A	iii		v6		v		6					m	0	1	5, 9, 8		8	5	0	4	0.0	0.0	0.25	0.0
62	61	1/2	1/2	4/4	2	1	iv6			A	iii		iv6		iv		6					m	0	1	3, 7, 6		6	3	0	4	0.0	0.0	0.25	0.0
62	61	3/4	3/4	4/4	2	1	#viio65/iv			A	iii		#viio65/iv		#vii	o	65		iv			o7	0	1	8, 5, 2, 11		11	8	0	4	0.0	0.0	0.25	0.0
63	62	0	0	4/4	2	1	iv6			A	iii		iv6		iv		6					m	0	1	3, 7, 6		6	3	0	4	0.0	0.0	0.25	0.0
63	62	1/4	1/4	4/4	2	1	III6			A	iii		III6		III		6					M	0	1	8, 5, 4		4	8	0	4	0.0	0.0	0.25	0.0
63	62	1/2	1/2	4/4	2	1	iio6			A	iii		iio6		ii	o	6					o	0	1	6, 3, 9		9	6	1	3	0.25	0.0625	0.1875	0.25
63	62	3/4	3/4	4/4	2	1	i6			A	iii		i6		i		6					m	0	1	4, 8, 7		7	4	0	4	0.0	0.0	0.25	0.0
64	63	0	0	4/4	2	1	#viio6			A	iii		#viio6		#vii	o	6					o	0	1	9, 6, 12		12	9	0	4	0.0	0.0	0.25	0.0
64	63	1/4	1/4	4/4	2	1	VI6			A	iii		VI6		VI		6					M	0	1	7, 4, 3		3	7	0	4	0.0	0.0	0.25	0.0
64	63	1/2	1/2	4/4	2	1	V6			A	iii		V6		V		6					M	0	1	12, 9, 8		8	12	0	4	0.0	0.0	0.25	0.0
64	63	3/4	3/4	4/4	2	1	V7			A	iii		V7		V		7					Mm7	0	1	8, 12, 9, 6		8	8	0	4	0.0	0.0	0.25	0.0
65	64	0	0	4/4	2	1	i[i|IAC}{			A	iii	i	i		i					IAC	}{	m	0	1	7, 4, 8		7	7	1	9	0.1	0.0625	1.1875	0.05
65	64	3/4	3/4	4/4	2	1	#viio64			A	iii	i	#viio64		#vii	o	64					o	0	1	6, 12, 9		12	6	1	3	0.25	0.125	0.375	0.25
66	65	0	0	4/4	2	1	i			A	iii	i	i		i							m	0	1	7, 4, 8		7	7	1	4	0.2	0.0625	0.4375	0.125
66	65	1/2	1/2	4/4	2	1	#viio			A	iii	i	#viio		#vii	o						o	0	1	12, 9, 6		12	12	1	3	0.25	0.125	0.375	0.25
66	65	3/4	3/4	4/4	2	1	i			A	iii	i	i		i							m	0	1	7, 4, 8		7	7	1	11	0.08333333333333333	0.0625	1.5625	0.038461538461538464
67	66	3/4	3/4	4/4	2	1	iio			A	iii	i	iio		ii	o						o	0	1	9, 6, 3		9	9	1	2	0.3333333333333333	0.125	0.5	0.2
68	67	0	0	4/4	2	1	i}			A	iii	i	i		i						}	m	0	1	7, 4, 8		7	7	1	4	0.2	0.0625	0.4375	0.125
68	67	1/2	1/2	4/4	2	1	iv			A	iii	i	iv		iv							m	0	1	6, 3, 7		6	6	0	3	0.0	0.0	0.625	0.0
68	67	3/4	3/4	4/4	2	1	i]			A	iii	i	i		i							m	0	1	7, 4, 8		7	7	0	3	0.0	0.0	0.625	0.0
70	69	0	0	4/4	2	1	V.V65{			A	V		V65		V		65				{	Mm7	0	0	9, 6, 3, 5		5	9	0	28	0.0	0.0	2.5	0.0
70	69	1/2	1/2	4/4	2	1	I			A	V		I		I							M	0	0	4, 8, 5		4	4	0	24	0.0	0.0	2.0	0.0
71	70	0	0	4/4	2	1	V6			A	V		V6		V		6					M	0	0	9, 6, 5		5	9	0	8	0.0	0.0	0.75	0.0
71	70	1/4	1/4	4/4	2	1	vi7			A	V		vi7		vi		7					mm7	0	0	7, 4, 8, 5		7	7	0	8	0.0	0.0	0.75	0.0
71	70	1/2	1/2	4/4	2	1	V			A	V		V		V							M	0	0	5, 9, 6		5	5	0	8	0.0	0.0	0.75	0.0
71	70	3/4	3/4	4/4	2	1	IV(+9)			A	V		IV(+9)		IV			+9				M	0	0	3, 7, 4	5	3	3	0	8	0.0	0.0	0.75	0.0
72	71	0	0	4/4	2	1	I6			A	V		I6		I		6					M	0	0	8, 5, 4		4	8	0	8	0.0	0.0	0.75	0.0
72	71	1/4	1/4	4/4	2	1	I			A	V		I		I							M	0	0	4, 8, 5		4	4	0	8	0.0	0.0	0.5	0.0
72	71	1/2	1/2	4/4	2	1	V6			A	V		V6		V		6					M	0	0	9, 6, 5		5	9	0	8	0.0	0.0	0.5	0.0
72	71	3/4	3/4	4/4	2	1	vi7			A	V		vi7		vi		7					mm7	0	0	7, 4, 8, 5		7	7	0	8	0.0	0.0	0.5	0.0
73	72	0	0	4/4	2	1	V			A	V		V		V							M	0	0	5, 9, 6		5	5	0	8	0.0	0.0	0.5	0.0
