mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
57	56	883/4	1.0	0	0	4/4	2	1		V7		G	I	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
57	56	887/4	1.0	1/4	1/4	4/4	2	1		I		G	I	V	I		I							M	0	0	0, 4, 1		0	0
57	56	891/4	2.0	1/2	1/2	4/4	2	1		V]		G	I	V	V		V							M	0	0	1, 5, 2		1	1
58	57	899/4	2.0	0	0	4/4	2	1		V65/IV}{		G	I		V65/IV		V		65		IV		}{	Mm7	0	0	4, 1, -2, 0		0	4
58	57	907/4	2.0	1/2	1/2	4/4	2	1		IV		G	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
59	58	915/4	2.0	0	0	4/4	2	1		V65/V		G	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
59	58	923/4	2.0	1/2	1/2	4/4	2	1		V		G	I		V		V							M	0	0	1, 5, 2		1	1
60	59	931/4	2.0	0	0	4/4	2	1		V65/vi		G	I		V65/vi		V		65		vi			Mm7	0	0	8, 5, 2, 4		4	8
60	59	939/4	2.0	1/2	1/2	4/4	2	1		vi		G	I		vi		vi							m	0	0	3, 0, 4		3	3
61	60	947/4	2.0	0	0	4/4	2	1		V65/V}		G	I		V65/V		V		65		V		}	Mm7	0	0	6, 3, 0, 2		2	6
61	60	955/4	1.0	1/2	1/2	4/4	2	1		V(4)		G	I		V(4)		V			4				M	0	0	1, 0, 2		1	1
61	60	959/4	1.0	3/4	3/4	4/4	2	1		V|HC		G	I		V		V					HC		M	0	0	1, 5, 2		1	1
62	61	963/4	2.0	0	0	4/4	2	1		I{		G	I		I		I						{	M	0	0	0, 4, 1		0	0
62	61	971/4	2.0	1/2	1/2	4/4	2	1		V6		G	I		V6		V		6					M	0	0	5, 2, 1		1	5
63	62	979/4	2.0	0	0	4/4	2	1		vi		G	I		vi		vi							m	0	0	3, 0, 4		3	3
63	62	987/4	2.0	1/2	1/2	4/4	2	1		iii6		G	I		iii6		iii		6					m	0	0	1, 5, 4		4	1
64	63	995/4	1.0	0	0	4/4	2	1		ii6		G	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
64	63	999/4	2.0	1/4	1/4	4/4	2	1		viio		G	I		viio		vii	o						o	0	0	5, 2, -1		5	5
64	63	1007/4	0.75	3/4	3/4	4/4	2	1		V		G	I		V		V							M	0	0	1, 5, 2		1	1
64	63	505/2	0.25	15/16	15/16	4/4	2	1		V65		G	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
65	64	1011/4	0.875	0	0	4/4	2	1		I		G	I		I		I							M	0	0	0, 4, 1		0	0
65	64	2029/8	0.125	7/32	7/32	4/4	2	1		I6		G	I		I6		I		6					M	0	0	4, 1, 0		0	4
65	64	1015/4	0.5	1/4	1/4	4/4	2	1		ii6		G	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
65	64	1017/4	0.5	3/8	3/8	4/4	2	1		V		G	I		V		V							M	0	0	1, 5, 2		1	1
65	64	1019/4	1.0	1/2	1/2	4/4	2	1		vi(6)}		G	I		vi(6)		vi			6			}	m	0	0	3, 0, -1		3	3
65	64	1023/4	0.75	3/4	3/4	4/4	2	1		vi|DC		G	I		vi		vi					DC		m	0	0	3, 0, 4		3	3
65	64	513/2	2.0	15/16	15/16	4/4	2	1		viio6/V{		G	I		viio6/V		vii	o	6		V		{	o	0	0	3, 0, 6		6	3
66	65	517/2	1.75	7/16	7/16	4/4	2	1		V(64)		G	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
66	65	1041/4	1.5	7/8	7/8	4/4	2	1		vii%7/V		G	I		vii%7/V		vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6
67	66		0.0	0	0	4/4	2	1	1	}		G	I										}		0	0				
67	66			1/4	1/4	4/4	2	1	1	V(64)		G	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
67	66			3/8	3/8	4/4	2	1	1	V7		G	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
67	66			1/2	1/2	4/4	2	1	1	I|PAC		G	I		I		I					PAC		M	0	0	0, 4, 1		0	0
68	66	1043/4	0.0	0	0	4/4	2	1	2	}		G	I										}		0	0				
68	66	1047/4	0.5	1/4	1/4	4/4	2	1	2	V(64)		G	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
68	66	1049/4	0.5	3/8	3/8	4/4	2	1	2	V7		G	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
68	66	1051/4	2.0	1/2	1/2	4/4	2	1	2	I|PAC		G	I		I		I					PAC		M	0	0	0, 4, 1		0	0
