mc	mn	quarterbeats	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	duration_qb
8	8	30	1/2	1/2	4/4	2	1	V(^4)		E	I		V(^4)		V			^4				M	0	0	1, 5, 0		1	1	
8	8	61/2	5/8	5/8	4/4	2	1	V		E	I		V		V							M	0	0	1, 5, 2		1	1	
8	8	31	3/4	3/4	4/4	2	1	I|PAC}		E	I		I		I					PAC	}	M	0	0	0, 4, 1		0	0	
9	9	32	0	0	4/4	2	1	V.viio64{		E	V		viio64		vii	o	64				{	o	0	0	-1, 5, 2		5	-1	
9	9	33	1/4	1/4	4/4	2	1	#viio6/ii		E	V		#viio6/ii		#vii	o	6		ii			o	0	0	4, 1, 7		7	4	
9	9	34	1/2	1/2	4/4	2	1	ii(#7^2)		E	V		ii(#7^2)		ii			#7^2				m	0	0	2, 4, 3	7	2	2	
9	9	69/2	5/8	5/8	4/4	2	1	ii		E	V		ii		ii							m	0	0	2, -1, 3		2	2	
9	9	35	3/4	3/4	4/4	2	1	V(64)		E	V		V(64)		V			64				M	0	0	1, 0, 4		1	1	
9	9	71/2	7/8	7/8	4/4	2	1	V		E	V		V		V							M	0	0	1, 5, 2		1	1	
10	10	36	0	0	4/4	2	1	#viio64/ii		E	V		#viio64/ii		#vii	o	64		ii			o	0	0	1, 7, 4		7	1	
10	10	37	1/4	1/4	4/4	2	1	ii6		E	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1	
10	10	38	1/2	1/2	4/4	2	1	iii%7		E	V		iii%7		iii	%	7					%7	0	0	4, 1, -2, 2		4	4	
10	10	39	3/4	3/4	4/4	2	1	vii(64)		E	V		vii(64)		vii			64				m	0	0	5, 4, 1		5	5	
10	10	79/2	7/8	7/8	4/4	2	1	vii		E	V		vii		vii							m	0	0	5, 2, 6		5	5	
11	11	40	0	0	4/4	2	1	viio64		E	V		viio64		vii	o	64					o	0	0	-1, 5, 2		5	-1	
11	11	41	1/4	1/4	4/4	2	1	I6		E	V		I6		I		6					M	0	0	4, 1, 0		0	4	
11	11	42	1/2	1/2	4/4	2	1	viio6		E	V		viio6		vii	o	6					o	0	0	2, -1, 5		5	2	
11	11	43	3/4	3/4	4/4	2	1	I		E	V		I		I							M	0	0	0, 4, 1		0	0	
12	12	44	0	0	4/4	2	1	ii6		E	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1	
12	12	47	3/4	3/4	4/4	2	1	V[V(4)		E	V	V	V(4)		V			4				M	0	0	1, 0, 2		1	1	
12	12	95/2	7/8	7/8	4/4	2	1	V		E	V	V	V		V							M	0	0	1, 5, 2		1	1	
13	13	48	0	0	4/4	2	1	I		E	V	V	I		I							M	0	0	0, 4, 1		0	0	
14	14	52	0	0	4/4	2	1	V7]		E	V	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	
15	15	56	0	0	4/4	2	1	V65/vi		E	V		V65/vi		V		65		vi			Mm7	0	0	8, 5, 2, 4		4	8	
15	15	113/2	1/8	1/8	4/4	2	1	vi		E	V		vi		vi							m	0	0	3, 0, 4		3	3	
15	15	57	1/4	1/4	4/4	2	1	V7/V		E	V		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2	
15	15	115/2	3/8	3/8	4/4	2	1	vi/V		E	V		vi/V		vi				V			m	0	0	4, 1, 5		4	4	
15	15	58	1/2	1/2	4/4	2	1	viio/V		E	V		viio/V		vii	o			V			o	0	0	6, 3, 0		6	6	
15	15	59	3/4	3/4	4/4	2	1	V		E	V		V		V							M	0	0	1, 5, 2		1	1	
16	16	60	0	0	4/4	2	1	I6		E	V		I6		I		6					M	0	0	4, 1, 0		0	4	
16	16	61	1/4	1/4	4/4	2	1	ii6		E	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1	
16	16	62	1/2	1/2	4/4	2	1	V(^4)		E	V		V(^4)		V			^4				M	0	0	1, 5, 0		1	1	
16	16	125/2	5/8	5/8	4/4	2	1	V		E	V		V		V							M	0	0	1, 5, 2		1	1	
16	16	63	3/4	3/4	4/4	2	1	I|PAC}		E	V		I		I					PAC	}	M	0	0	0, 4, 1		0	0	
17	17	64	0	0	4/4	2	1	I.V[V{		E	I	V	V		V						{	M	0	0	1, 5, 2		1	1	
17	17	129/2	1/8	1/8	4/4	2	1	I		E	I	V	I		I							M	0	0	0, 4, 1		0	0	
17	17	131/2	3/8	3/8	4/4	2	1	V7		E	I	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	
17	17	133/2	5/8	5/8	4/4	2	1	I		E	I	V	I		I							M	0	0	0, 4, 1		0	0	
17	17	67	3/4	3/4	4/4	2	1	V(64)		E	I	V	V(64)		V			64				M	0	0	1, 0, 4		1	1	
17	17	135/2	7/8	7/8	4/4	2	1	V		E	I	V	V		V							M	0	0	1, 5, 2		1	1	
18	18	68	0	0	4/4	2	1	I		E	I	V	I		I							M	0	0	0, 4, 1		0	0	
18	18	137/2	1/8	1/8	4/4	2	1	V7		E	I	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	
18	18	139/2	3/8	3/8	4/4	2	1	I		E	I	V	I		I							M	0	0	0, 4, 1		0	0	
18	18	141/2	5/8	5/8	4/4	2	1	V7		E	I	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	
18	18	71	3/4	3/4	4/4	2	1	I(94)		E	I	V	I(94)		I			94				M	0	0	0, -1, 1	2	0	0	
18	18	143/2	7/8	7/8	4/4	2	1	I]		E	I	V	I		I							M	0	0	0, 4, 1		0	0	
19	19	72	0	0	4/4	2	1	IV		E	I		IV		IV							M	0	0	-1, 3, 0		-1	-1	
19	19	145/2	1/8	1/8	4/4	2	1	I6		E	I		I6		I		6					M	0	0	4, 1, 0		0	4	
19	19	73	1/4	1/4	4/4	2	1	V43/IV		E	I		V43/IV		V		43		IV			Mm7	0	0	1, -2, 0, 4		0	1	
19	19	147/2	3/8	3/8	4/4	2	1	IV		E	I		IV		IV							M	0	0	-1, 3, 0		-1	-1	
19	19	74	1/2	1/2	4/4	2	1	I6		E	I		I6		I		6					M	0	0	4, 1, 0		0	4	
19	19	149/2	5/8	5/8	4/4	2	1	viio6		E	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2	
19	19	75	3/4	3/4	4/4	2	1	viio		E	I		viio		vii	o						o	0	0	5, 2, -1		5	5	
19	19	151/2	7/8	7/8	4/4	2	1	I		E	I		I		I							M	0	0	0, 4, 1		0	0	
20	20	76	0	0	4/4	2	1	V65/ii		E	I		V65/ii		V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7	
20	20	77	1/4	1/4	4/4	2	1	ii		E	I		ii		ii							m	0	0	2, -1, 3		2	2	
20	20	79	3/4	3/4	4/4	2	1	V(64)}		E	I		V(64)		V			64			}	M	0	0	1, 0, 4		1	1	
20	20	159/2	7/8	7/8	4/4	2	1	V|HC		E	I		V		V					HC		M	0	0	1, 5, 2		1	1	
21	21	80	0	0	4/4	2	1	I{		E	I		I		I						{	M	0	0	0, 4, 1		0	0	
21	21	161/2	1/8	1/8	4/4	2	1	V6		E	I		V6		V		6					M	0	0	5, 2, 1		1	5	
21	21	81	1/4	1/4	4/4	2	1	V43		E	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2	
21	21	163/2	3/8	3/8	4/4	2	1	I		E	I		I		I							M	0	0	0, 4, 1		0	0	
21	21	82	1/2	1/2	4/4	2	1	V6		E	I		V6		V		6					M	0	0	5, 2, 1		1	5	
21	21	165/2	5/8	5/8	4/4	2	1	viio6/V		E	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3	
21	21	83	3/4	3/4	4/4	2	1	V(4)		E	I		V(4)		V			4				M	0	0	1, 0, 2		1	1	
21	21	167/2	7/8	7/8	4/4	2	1	V		E	I		V		V							M	0	0	1, 5, 2		1	1	
22	22	84	0	0	4/4	2	1	I6		E	I		I6		I		6					M	0	0	4, 1, 0		0	4	
22	22	85	1/4	1/4	4/4	2	1	ii6		E	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1	
22	22	86	1/2	1/2	4/4	2	1	V7		E	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	
22	22	87	3/4	3/4	4/4	2	1	I(94)}		E	I		I(94)		I			94			}	M	0	0	0, -1, 1	2	0	0	
22	22	175/2	7/8	7/8	4/4	2	1	I|IAC		E	I		I		I					IAC		M	0	0	0, 4, 1		0	0	
23	23	88	0	0	4/4	2	1	{		E	I										{		0	0					0.0
23	23	177/2	1/8	1/8	4/4	2	1	V6		E	I		V6		V		6					M	0	0	5, 2, 1		1	5	
23	23	89	1/4	1/4	4/4	2	1	V43		E	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2	
23	23	179/2	3/8	3/8	4/4	2	1	I		E	I		I		I							M	0	0	0, 4, 1		0	0	
23	23	90	1/2	1/2	4/4	2	1	V6		E	I		V6		V		6					M	0	0	5, 2, 1		1	5	
23	23	181/2	5/8	5/8	4/4	2	1	viio6/V		E	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3	
23	23	91	3/4	3/4	4/4	2	1	V(4)		E	I		V(4)		V			4				M	0	0	1, 0, 2		1	1	
23	23	183/2	7/8	7/8	4/4	2	1	V2		E	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1	
24	24	92	0	0	4/4	2	1	I6		E	I		I6		I		6					M	0	0	4, 1, 0		0	4	
24	24	93	1/4	1/4	4/4	2	1	ii6		E	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1	
24	24	94	1/2	1/2	4/4	2	1	V(64)		E	I		V(64)		V			64				M	0	0	1, 0, 4		1	1	
24	24	189/2	5/8	5/8	4/4	2	1	V7		E	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	
24	24	95	3/4	3/4	4/4	2	1	I|PAC}		E	I		I		I					PAC	}	M	0	0	0, 4, 1		0	0	
25	25	96	0	0	4/4	2	1	V2/IV{		E	I		V2/IV		V		2		IV		{	Mm7	0	0	-2, 0, 4, 1		0	-2	
25	25	97	1/4	1/4	4/4	2	1	iv6		E	I		iv6		iv		6					m	0	0	-4, 0, -1		-1	-4	
26	26	100	0	0	4/4	2	1	V65/bVI		E	I		V65/bVI		V		65		bVI			Mm7	0	0	1, -2, -5, -3		-3	1	
26	26	101	1/4	1/4	4/4	2	1	V2/bII}		E	I		V2/bII		V		2		bII		}	Mm7	0	0	-6, -4, 0, -3		-4	-6	
27	27	104	0	0	4/4	2	1	bII.I{		E	bII		I		I						{	M	0	0	0, 4, 1		0	0	
27	27	209/2	1/8	1/8	4/4	2	1	V6		E	bII		V6		V		6					M	0	0	5, 2, 1		1	5	
27	27	105	1/4	1/4	4/4	2	1	V43		E	bII		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2	
27	27	211/2	3/8	3/8	4/4	2	1	I		E	bII		I		I							M	0	0	0, 4, 1		0	0	
27	27	106	1/2	1/2	4/4	2	1	V6		E	bII		V6		V		6					M	0	0	5, 2, 1		1	5	
27	27	213/2	5/8	5/8	4/4	2	1	viio6/V		E	bII		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3	
27	27	107	3/4	3/4	4/4	2	1	V(4)		E	bII		V(4)		V			4				M	0	0	1, 0, 2		1	1	
27	27	215/2	7/8	7/8	4/4	2	1	V		E	bII		V		V							M	0	0	1, 5, 2		1	1	
28	28	108	0	0	4/4	2	1	I6		E	bII		I6		I		6					M	0	0	4, 1, 0		0	4	
28	28	109	1/4	1/4	4/4	2	1	ii6		E	bII		ii6		ii		6					m	0	0	-1, 3, 2		2	-1	
28	28	110	1/2	1/2	4/4	2	1	V7		E	bII		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	
28	28	111	3/4	3/4	4/4	2	1	I(94)}		E	bII		I(94)		I			94			}	M	0	0	0, -1, 1	2	0	0	
28	28	223/2	7/8	7/8	4/4	2	1	I|IAC		E	bII		I		I					IAC		M	0	0	0, 4, 1		0	0	
29	29	112	0	0	4/4	2	1	{		E	bII										{		0	0					0.0
29	29	225/2	1/8	1/8	4/4	2	1	V6		E	bII		V6		V		6					M	0	0	5, 2, 1		1	5	
29	29	113	1/4	1/4	4/4	2	1	V43		E	bII		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2	
29	29	227/2	3/8	3/8	4/4	2	1	I		E	bII		I		I							M	0	0	0, 4, 1		0	0	
29	29	114	1/2	1/2	4/4	2	1	V6		E	bII		V6		V		6					M	0	0	5, 2, 1		1	5	
29	29	115	3/4	3/4	4/4	2	1	V		E	bII		V		V							M	0	0	1, 5, 2		1	1	
30	30	116	0	0	4/4	2	1	I6		E	bII		I6		I		6					M	0	0	4, 1, 0		0	4	
30	30	117	1/4	1/4	4/4	2	1	ii6		E	bII		ii6		ii		6					m	0	0	-1, 3, 2		2	-1	
30	30	118	1/2	1/2	4/4	2	1	V(64)		E	bII		V(64)		V			64				M	0	0	1, 0, 4		1	1	
30	30	237/2	5/8	5/8	4/4	2	1	V		E	bII		V		V							M	0	0	1, 5, 2		1	1	
30	30	119	3/4	3/4	4/4	2	1	I|PAC}		E	bII		I		I					PAC	}	M	0	0	0, 4, 1		0	0	
31	31	120	0	0	4/4	2	1	{		E	bII										{		0	0					0.0
31	31	241/2	1/8	1/8	4/4	2	1	V6		E	bII		V6		V		6					M	0	0	5, 2, 1		1	5	
31	31	121	1/4	1/4	4/4	2	1	IV6		E	bII		IV6		IV		6					M	0	0	3, 0, -1		-1	3	
31	31	243/2	3/8	3/8	4/4	2	1	I6	iii6	E	bII		I6		I		6					M	0	0	4, 1, 0		0	4	
31	31	122	1/2	1/2	4/4	2	1	IV		E	bII		IV		IV							M	0	0	-1, 3, 0		-1	-1	
31	31	245/2	5/8	5/8	4/4	2	1	I6		E	bII		I6		I		6					M	0	0	4, 1, 0		0	4	
31	31	123	3/4	3/4	4/4	2	1	ii	viio6	E	bII		ii		ii							m	0	0	2, -1, 3		2	2	
31	31	247/2	7/8	7/8	4/4	2	1	vi6	I	E	bII		vi6		vi		6					m	0	0	0, 4, 3		3	0	
32	32	124	0	0	4/4	2	1	iv.V		E	iv		V		V							M	0	1	1, 5, 2		1	1	
32	32	249/2	1/8	1/8	4/4	2	1	V2		E	iv		V2		V		2					Mm7	0	1	-1, 1, 5, 2		1	-1	
32	32	125	1/4	1/4	4/4	2	1	i6		E	iv		i6		i		6					m	0	1	-3, 1, 0		0	-3	
32	32	251/2	3/8	3/8	4/4	2	1	V43		E	iv		V43		V		43					Mm7	0	1	2, -1, 1, 5		1	2	
32	32	126	1/2	1/2	4/4	2	1	i		E	iv		i		i							m	0	1	0, -3, 1		0	0	
32	32	253/2	5/8	5/8	4/4	2	1	viio7/V		E	iv		viio7/V		vii	o	7		V			o7	0	1	6, 3, 0, -3		6	6	
32	32	127	3/4	3/4	4/4	2	1	V(64)}		E	iv		V(64)		V			64			}	M	0	1	1, 0, -3		1	1	
32	32	255/2	7/8	7/8	4/4	2	1	V|HC		E	iv		V		V					HC		M	0	1	1, 5, 2		1	1	
33	33	128	0	0	4/4	2	1	{		E	iv										{		0	1					0.0
33	33	513/4	1/16	1/16	4/4	2	1	V7		E	iv		V7		V		7					Mm7	0	1	1, 5, 2, -1		1	1	
33	33	257/2	1/8	1/8	4/4	2	1	V(64)		E	iv		V(64)		V			64				M	0	1	1, 0, -3		1	1	
33	33	515/4	3/16	3/16	4/4	2	1	V		E	iv		V		V							M	0	1	1, 5, 2		1	1	
33	33	129	1/4	1/4	4/4	2	1	i		E	iv		i		i							m	0	1	0, -3, 1		0	0	
33	33	517/4	5/16	5/16	4/4	2	1	V2/iv		E	iv		V2/iv		V		2		iv			Mm7	0	1	-2, 0, 4, 1		0	-2	
33	33	259/2	3/8	3/8	4/4	2	1	iv6		E	iv		iv6		iv		6					m	0	1	-4, 0, -1		-1	-4	
33	33	519/4	7/16	7/16	4/4	2	1	#viio6/iv		E	iv		#viio6/iv		#vii	o	6		iv			o	0	1	1, -2, 4		4	1	
33	33	130	1/2	1/2	4/4	2	1	iv[iv		E	iv	iv	iv		iv							m	0	1	-1, -4, 0		-1	-1	
33	33	261/2	5/8	5/8	4/4	2	1	#viio		E	iv	iv	#viio		#vii	o						o	0	1	5, 2, -1		5	5	
33	33	131	3/4	3/4	4/4	2	1	iv]		E	iv	iv	iv		iv							m	0	1	-1, -4, 0		-1	-1	
33	33	525/4	13/16	13/16	4/4	2	1	V2/VII		E	iv		V2/VII		V		2		VII			Mm7	0	1	-3, -1, 3, 0		-1	-3	
33	33	263/2	7/8	7/8	4/4	2	1	vi64/VII		E	iv		vi64/VII		vi		64		VII			m	0	1	2, 1, -2		1	2	
33	33	527/4	15/16	15/16	4/4	2	1	viio6/VII		E	iv		viio6/VII		vii	o	6		VII			o	0	1	0, -3, 3		3	0	
34	34	132	0	0	4/4	2	1	bVI.V[V7		E	bVI	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	
34	34	133	1/4	1/4	4/4	2	1	I		E	bVI	V	I		I							M	0	0	0, 4, 1		0	0	
34	34	134	1/2	1/2	4/4	2	1	V7		E	bVI	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	
34	34	135	3/4	3/4	4/4	2	1	I]		E	bVI	V	I		I							M	0	0	0, 4, 1		0	0	
35	35	136	0	0	4/4	2	1	V65		E	bVI		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5	
35	35	137	1/4	1/4	4/4	2	1	i		E	bVI		i		i							m	0	0	0, -3, 1		0	0	
35	35	138	1/2	1/2	4/4	2	1	V43		E	bVI		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2	
35	35	139	3/4	3/4	4/4	2	1	i6		E	bVI		i6		i		6					m	0	0	-3, 1, 0		0	-3	
36	36	140	0	0	4/4	2	1	V2/ii		E	bVI		V2/ii		V		2		ii			Mm7	0	0	1, 3, 7, 4		3	1	
36	36	141	1/4	1/4	4/4	2	1	ii6		E	bVI		ii6		ii		6					m	0	0	-1, 3, 2		2	-1	
36	36	569/4	9/16	9/16	4/4	2	1	V2/iii		E	bVI		V2/iii		V		2		iii			Mm7	0	0	3, 5, 9, 6		5	3	
36	36	573/4	13/16	13/16	4/4	2	1	iii6		E	bVI		iii6		iii		6					m	0	0	1, 5, 4		4	1	
37	37	144	0	0	4/4	2	1	V2/IV		E	bVI		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2	
37	37	145	1/4	1/4	4/4	2	1	V2/V		E	bVI		V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2	0	
37	37	291/2	3/8	3/8	4/4	2	1	V6		E	bVI		V6		V		6					M	0	0	5, 2, 1		1	5	
37	37	146	1/2	1/2	4/4	2	1	V2/vi		E	bVI		V2/vi		V		2		vi			Mm7	0	0	2, 4, 8, 5		4	2	
37	37	293/2	5/8	5/8	4/4	2	1	viio6/V/iii		E	bVI		viio6/V/iii		vii	o	6		V/iii			o	0	0	7, 4, 10		10	7	
37	37	147	3/4	3/4	4/4	2	1	V/iii}		E	bVI		V/iii		V				iii		}	M	0	0	5, 9, 6		5	5	
38	38	148	0	0	4/4	2	1	I.I{		E	I		I		I						{	M	0	0	0, 4, 1		0	0	
38	38	297/2	1/8	1/8	4/4	2	1	V6		E	I		V6		V		6					M	0	0	5, 2, 1		1	5	
38	38	149	1/4	1/4	4/4	2	1	V43		E	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2	
38	38	299/2	3/8	3/8	4/4	2	1	I		E	I		I		I							M	0	0	0, 4, 1		0	0	
38	38	150	1/2	1/2	4/4	2	1	V6		E	I		V6		V		6					M	0	0	5, 2, 1		1	5	
38	38	301/2	5/8	5/8	4/4	2	1	viio6/V		E	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3	
38	38	151	3/4	3/4	4/4	2	1	V(4)		E	I		V(4)		V			4				M	0	0	1, 0, 2		1	1	
38	38	303/2	7/8	7/8	4/4	2	1	V		E	I		V		V							M	0	0	1, 5, 2		1	1	
39	39	152	0	0	4/4	2	1	I6		E	I		I6		I		6					M	0	0	4, 1, 0		0	4	
39	39	153	1/4	1/4	4/4	2	1	ii6		E	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1	
39	39	154	1/2	1/2	4/4	2	1	V7		E	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	
39	39	155	3/4	3/4	4/4	2	1	I(94)}		E	I		I(94)		I			94			}	M	0	0	0, -1, 1	2	0	0	
39	39	311/2	7/8	7/8	4/4	2	1	I|IAC		E	I		I		I					IAC		M	0	0	0, 4, 1		0	0	
40	40	156	0	0	4/4	2	1	{		E	I										{		0	0					0.0
40	40	313/2	1/8	1/8	4/4	2	1	V6		E	I		V6		V		6					M	0	0	5, 2, 1		1	5	
40	40	157	1/4	1/4	4/4	2	1	V43		E	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2	
40	40	315/2	3/8	3/8	4/4	2	1	I		E	I		I		I							M	0	0	0, 4, 1		0	0	
40	40	158	1/2	1/2	4/4	2	1	V6		E	I		V6		V		6					M	0	0	5, 2, 1		1	5	
40	40	317/2	5/8	5/8	4/4	2	1	viio6/V		E	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3	
40	40	159	3/4	3/4	4/4	2	1	V(4)		E	I		V(4)		V			4				M	0	0	1, 0, 2		1	1	
40	40	319/2	7/8	7/8	4/4	2	1	V		E	I		V		V							M	0	0	1, 5, 2		1	1	
41	41	160	0	0	4/4	2	1	I6		E	I		I6		I		6					M	0	0	4, 1, 0		0	4	
41	41	161	1/4	1/4	4/4	2	1	ii6		E	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1	
41	41	162	1/2	1/2	4/4	2	1	V(64)		E	I		V(64)		V			64				M	0	0	1, 0, 4		1	1	
