mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm
2	2	4	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1.0	28	articStaccatissimoBelow			
2	2	5	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1.0	29				
2	2	11/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1.0	30				
2	2	6	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1.0	31				
3	3	8	0.25	0	0	Chord	4/4	1	1	1/16			1/16	1.0	32				
3	3	33/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16			1/16	1.0	33				
3	3	17/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1.0	34				
3	3	35/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1.0	35				
3	3	9	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1.0	36				
3	3	37/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1.0	37				
3	3	19/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1.0	38				
3	3	39/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1.0	39				
3	3	10	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1.0	40				
3	3	41/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1.0	41				
3	3	21/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1.0	42				
3	3	43/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1.0	43				
3	3	11	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1.0	44				
3	3	45/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1.0	45				
3	3	23/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1.0	46				
3	3	47/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1.0	47				
3	3	9	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1.0	48				
3	3	10	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1.0	49				
3	3	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1.0	50				
4	4	12	0.25	0	0	Chord	4/4	1	1	1/16			1/16	1.0	51				
4	4	49/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16			1/16	1.0	52				
4	4	25/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1.0	53				
4	4	51/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1.0	54				
4	4	13	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1.0	55				
4	4	53/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1.0	56				
4	4	27/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1.0	57				
4	4	55/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1.0	58				
4	4	14	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1.0	59				
4	4	57/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1.0	60				
4	4	29/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1.0	61				
4	4	59/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1.0	62				
4	4	15	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1.0	63				
4	4	61/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1.0	64				
4	4	31/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1.0	65				
4	4	63/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1.0	66				
4	4	12	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1.0	67	articStaccatissimoAbove			
4	4	13	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1.0	68	articStaccatissimoBelow			
5	5	16	0.25	0	0	Chord	4/4	1	1	1/16			1/16	1.0	69				
5	5	65/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16			1/16	1.0	70				
5	5	33/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1.0	71				
5	5	67/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1.0	72				
5	5	17	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1.0	73				
5	5	69/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1.0	74				
5	5	35/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1.0	75				
5	5	71/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1.0	76				
5	5	18	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1.0	77				
5	5	73/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1.0	78				
5	5	37/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1.0	79				
5	5	75/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1.0	80				
5	5	19	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1.0	81				
5	5	77/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1.0	82				
5	5	39/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1.0	83				
5	5	79/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1.0	84				
5	5	17	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1.0	85	articStaccatissimoBelow			
5	5	18	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1.0	86	articStaccatissimoAbove			
5	5	19	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1.0	87	articStaccatissimoBelow			
6	6	20	0.25	0	0	Chord	4/4	1	1	1/16			1/16	1.0	88				
6	6	81/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16			1/16	1.0	89				
6	6	41/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1.0	90				
6	6	83/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1.0	91				
6	6	21	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1.0	92				
6	6	85/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1.0	93				
6	6	43/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1.0	94				
6	6	87/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1.0	95				
6	6	22	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1.0	96				
6	6	45/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1.0	97				
6	6	91/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1.0	98				
6	6	23	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1.0	99				
6	6	93/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1.0	100				
6	6	47/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1.0	101				
6	6	95/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1.0	102				
6	6	20	0.25	0	0	Chord	4/4	2	1	1/16			1/16	1.0	103				
6	6	81/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16			1/16	1.0	104				
6	6	41/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1.0	105				
6	6	83/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1.0	106				
6	6	21	0.25	1/4	1/4	Chord	4/4	2	1	1/16			1/16	1.0	107				
6	6	85/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16			1/16	1.0	108				
6	6	43/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1.0	109				
6	6	87/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1.0	110				
6	6	22	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1.0	111				
7	7	24	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1.0	112				
7	7	49/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1.0	113				
7	7	99/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1.0	114				
7	7	25	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1.0	115				
7	7	101/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1.0	116				
7	7	51/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1.0	117				
7	7	103/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1.0	118				
7	7	26	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1.0	119	articStaccatissimoAbove			
7	7	53/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1.0	120				
7	7	107/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1.0	121				
7	7	27	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1.0	122				
7	7	109/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1.0	123				
7	7	55/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1.0	124				
7	7	111/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1.0	125				
7	7	49/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1.0	126				
7	7	99/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1.0	127				
7	7	25	0.25	1/4	1/4	Chord	4/4	2	1	1/16			1/16	1.0	128				
7	7	101/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16			1/16	1.0	129				
7	7	51/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1.0	130				
7	7	103/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1.0	131				
7	7	26	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1.0	132	articStaccatissimoBelow			
8	8	28	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1.0	133	articStaccatissimoAbove			
8	8	57/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1.0	134				
8	8	115/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1.0	135				
8	8	29	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1.0	136				
8	8	117/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1.0	137				
8	8	59/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1.0	138				
8	8	119/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1.0	139				
8	8	30	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1.0	140	articStaccatissimoBelow			
8	8	61/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1.0	141				
8	8	123/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1.0	142				
8	8	31	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1.0	143				
8	8	125/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1.0	144				
8	8	63/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1.0	145				
8	8	127/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1.0	146				
8	8	57/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1.0	147				
8	8	115/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1.0	148				
8	8	29	0.25	1/4	1/4	Chord	4/4	2	1	1/16			1/16	1.0	149				
8	8	117/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16			1/16	1.0	150				
8	8	59/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1.0	151				
8	8	119/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1.0	152				
8	8	30	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1.0	153	articStaccatissimoBelow			
9	9	32	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1.0	154	articStaccatissimoBelow			
9	9	65/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1.0	155				
9	9	131/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1.0	156				
9	9	33	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1.0	157				
9	9	133/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1.0	158				
9	9	67/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1.0	159				
9	9	135/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1.0	160				
9	9	34	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1.0	161	articStaccatissimoBelow			
9	9	69/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1.0	162	articStaccatissimoBelow			
9	9	35	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1.0	163	articStaccatissimoBelow			
9	9	71/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1.0	164	articStaccatissimoBelow			
9	9	65/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1.0	165				
9	9	131/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1.0	166				
9	9	33	0.25	1/4	1/4	Chord	4/4	2	1	1/16			1/16	1.0	167				
9	9	133/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16			1/16	1.0	168				
9	9	67/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1.0	169				
9	9	135/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1.0	170				
9	9	34	2.0	1/2	1/2	Chord	4/4	2	1	1/2			1/2	1.0	171				
10	10	36	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1.0	172				
10	10	73/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1.0	173				
10	10	147/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1.0	174				
10	10	37	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1.0	175				
10	10	149/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1.0	176				
10	10	75/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1.0	177				
10	10	151/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1.0	178				
10	10	38	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1.0	179	articStaccatissimoAbove			
10	10	77/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1.0	180	articStaccatissimoAbove			
10	10	39	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1.0	181	articStaccatissimoAbove			
10	10	79/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1.0	182	articStaccatissimoAbove			
10	10	36	4.0	0	0	Chord	4/4	2	1	1			1	1.0	183				
11	11	40	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1.0	184	articStaccatissimoAbove			
11	11	81/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1.0	185				
11	11	163/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1.0	186				
11	11	41	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1.0	187				
11	11	165/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1.0	188				
11	11	83/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1.0	189				
11	11	167/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1.0	190				
11	11	42	1.0	1/2	1/2	Chord	4/4	1	1	1/4			1/4	1.0	191	articStaccatissimoAbove			
11	11	43	1.0	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1.0	192	articStaccatissimoAbove			
11	11	40	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1.0	193				
11	11	42	2.0	1/2	1/2	Chord	4/4	2	1	1/2			1/2	1.0	194				
12	12	44	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1.0	195	articStaccatissimoAbove			
12	12	45	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1.0	196	articStaccatissimoAbove			
12	12	46	1.0	1/2	1/2	Chord	4/4	1	1	1/4			1/4	1.0	197	articStaccatissimoAbove			
12	12	44	4.0	0	0	Chord	4/4	2	1	1			1	1.0	198				
12	12	47	1.0	3/4	3/4	Chord	4/4	2	2	1/4			1/4	1.0	199				
13	13	99/2	0.125	3/8	3/8	Chord	4/4	1	1	1/32			1/32	1.0	200				
13	13	397/8	0.125	13/32	13/32	Chord	4/4	1	1	1/32			1/32	1.0	201				
13	13	199/4	0.125	7/16	7/16	Chord	4/4	1	1	1/32			1/32	1.0	202				
13	13	399/8	0.0625	15/32	15/32	Chord	4/4	1	1	1/64			1/64	1.0	203				
13	13	799/16	0.0625	31/64	31/64	Chord	4/4	1	1	1/64			1/64	1.0	204				
13	13	50	2.0	1/2	1/2	Chord	4/4	1	1	1/2			1/2	1.0	205	ornamentMordent			
13	13	50	2.0	1/2	1/2	Chord	4/4	2	1	1/2			1/2	1.0	206				
13	13	48	2.0	0	0	Chord	4/4	2	2	1/2			1/2	1.0	207				
13	13	50	2.0	1/2	1/2	Chord	4/4	2	2	1/2			1/2	1.0	208				
14	14	52	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1.0	209				
14	14	52	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1.0	210				
14	14	52	1.0	0	0	Chord	4/4	2	2	1/4			1/4	1.0	211				
