mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	staff_text	tempo	qpm	tempo_visible
1	1	2	2	2.0	1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	55					
1	1	4	4	2.0	1	1	Chord	4/4	2	2	1/2		1/2	1	56					
1	1	6	6	2.0	3/2	3/2	Chord	4/4	2	2	1/2		1/2	1	57					
1	1	8	8	2.0	2	2	Chord	4/4	2	2	1/2		1/2	1	58					
1	1	10	10	2.0	5/2	5/2	Chord	4/4	2	2	1/2		1/2	1	59					
1	1	12	12	2.0	3	3	Chord	4/4	2	2	1/2		1/2	1	60					
1	1	14	14	2.0	7/2	7/2	Chord	4/4	2	2	1/2		1/2	1	61					
1	1	16	16	2.0	4	4	Chord	4/4	2	2	1/2		1/2	1	62					
1	1	18	18	2.0	9/2	9/2	Chord	4/4	2	2	1/2		1/2	1	63					
1	1	20	20	2.0	5	5	Chord	4/4	2	2	1/2		1/2	1	64					
1	1	22	22	2.0	11/2	11/2	Chord	4/4	2	2	1/2		1/2	1	65					
1	1	24	24	2.0	6	6	Chord	4/4	2	2	1/2		1/2	1	66					
1	1	26	26	2.0	13/2	13/2	Chord	4/4	2	2	1/2		1/2	1	67					
1	1	28	28	2.0	7	7	Chord	4/4	2	2	1/2		1/2	1	68					
1	1	30	30	2.0	15/2	15/2	Chord	4/4	2	2	1/2		1/2	1	69					
1	1	32	32	2.0	8	8	Chord	4/4	2	2	1/2		1/2	1	70					
1	1	34	34	2.0	17/2	17/2	Chord	4/4	2	2	1/2		1/2	1	71					
2	2	73/2	73/2	0.0625	1/8	1/8	Chord	4/4	1	1	1/64		1/64	1	72					
2	2	585/16	585/16	0.0625	9/64	9/64	Chord	4/4	1	1	1/64		1/64	1	73					
2	2	293/8	293/8	0.0625	5/32	5/32	Chord	4/4	1	1	1/64		1/64	1	74					
2	2	587/16	587/16	0.0625	11/64	11/64	Chord	4/4	1	1	1/64		1/64	1	75					
2	2	147/4	147/4	0.0625	3/16	3/16	Chord	4/4	1	1	1/64		1/64	1	76					
2	2	589/16	589/16	0.0625	13/64	13/64	Chord	4/4	1	1	1/64		1/64	1	77					
2	2	295/8	295/8	0.0625	7/32	7/32	Chord	4/4	1	1	1/64		1/64	1	78					
2	2	591/16	591/16	0.0625	15/64	15/64	Chord	4/4	1	1	1/64		1/64	1	79					
2	2	37	37	0.0625	1/4	1/4	Chord	4/4	1	1	1/64		1/64	1	80					
2	2	593/16	593/16	0.0625	17/64	17/64	Chord	4/4	1	1	1/64		1/64	1	81					
2	2	297/8	297/8	0.0625	9/32	9/32	Chord	4/4	1	1	1/64		1/64	1	82					
2	2	595/16	595/16	0.0625	19/64	19/64	Chord	4/4	1	1	1/64		1/64	1	83					
2	2	149/4	149/4	0.0625	5/16	5/16	Chord	4/4	1	1	1/64		1/64	1	84					
2	2	597/16	597/16	0.0625	21/64	21/64	Chord	4/4	1	1	1/64		1/64	1	85					
2	2	299/8	299/8	0.0625	11/32	11/32	Chord	4/4	1	1	1/64		1/64	1	86					
2	2	599/16	599/16	0.0625	23/64	23/64	Chord	4/4	1	1	1/64		1/64	1	87					
2	2	75/2	75/2	0.0625	3/8	3/8	Chord	4/4	1	1	1/64		1/64	1	88					
2	2	601/16	601/16	0.0625	25/64	25/64	Chord	4/4	1	1	1/64		1/64	1	89					
2	2	301/8	301/8	0.0625	13/32	13/32	Chord	4/4	1	1	1/64		1/64	1	90					
2	2	603/16	603/16	0.0625	27/64	27/64	Chord	4/4	1	1	1/64		1/64	1	91					
2	2	151/4	151/4	0.0625	7/16	7/16	Chord	4/4	1	1	1/64		1/64	1	92					
2	2	605/16	605/16	0.0625	29/64	29/64	Chord	4/4	1	1	1/64		1/64	1	93					
2	2	303/8	303/8	0.0625	15/32	15/32	Chord	4/4	1	1	1/64		1/64	1	94					
2	2	607/16	607/16	0.0625	31/64	31/64	Chord	4/4	1	1	1/64		1/64	1	95					
2	2	38	38	0.0625	1/2	1/2	Chord	4/4	1	1	1/64		1/64	1	96					
2	2	609/16	609/16	0.0625	33/64	33/64	Chord	4/4	1	1	1/64		1/64	1	97					
2	2	305/8	305/8	0.0625	17/32	17/32	Chord	4/4	1	1	1/64		1/64	1	98					
2	2	611/16	611/16	0.0625	35/64	35/64	Chord	4/4	1	1	1/64		1/64	1	99					
2	2	153/4	153/4	0.0625	9/16	9/16	Chord	4/4	1	1	1/64		1/64	1	100					
2	2	613/16	613/16	0.0625	37/64	37/64	Chord	4/4	1	1	1/64		1/64	1	101					
2	2	307/8	307/8	0.0625	19/32	19/32	Chord	4/4	1	1	1/64		1/64	1	102					
2	2	615/16	615/16	0.0625	39/64	39/64	Chord	4/4	1	1	1/64		1/64	1	103					
2	2	77/2	77/2	0.0625	5/8	5/8	Chord	4/4	1	1	1/64		1/64	1	104					
2	2	617/16	617/16	0.0625	41/64	41/64	Chord	4/4	1	1	1/64		1/64	1	105					
2	2	309/8	309/8	0.0625	21/32	21/32	Chord	4/4	1	1	1/64		1/64	1	106					
2	2	619/16	619/16	0.0625	43/64	43/64	Chord	4/4	1	1	1/64		1/64	1	107					
2	2	155/4	155/4	0.0625	11/16	11/16	Chord	4/4	1	1	1/64		1/64	1	108					
2	2	621/16	621/16	0.0625	45/64	45/64	Chord	4/4	1	1	1/64		1/64	1	109					
2	2	311/8	311/8	0.0625	23/32	23/32	Chord	4/4	1	1	1/64		1/64	1	110					
2	2	623/16	623/16	0.0625	47/64	47/64	Chord	4/4	1	1	1/64		1/64	1	111					
2	2	39	39	0.0625	3/4	3/4	Chord	4/4	1	1	1/64		1/64	1	112					
2	2	625/16	625/16	0.0625	49/64	49/64	Chord	4/4	1	1	1/64		1/64	1	113					
2	2	313/8	313/8	0.0625	25/32	25/32	Chord	4/4	1	1	1/64		1/64	1	114					
2	2	627/16	627/16	0.0625	51/64	51/64	Chord	4/4	1	1	1/64		1/64	1	115					
2	2	157/4	157/4	0.0625	13/16	13/16	Chord	4/4	1	1	1/64		1/64	1	116					
2	2	629/16	629/16	0.0625	53/64	53/64	Chord	4/4	1	1	1/64		1/64	1	117					
2	2	315/8	315/8	0.0625	27/32	27/32	Chord	4/4	1	1	1/64		1/64	1	118					
2	2	631/16	631/16	0.0625	55/64	55/64	Chord	4/4	1	1	1/64		1/64	1	119					
3	3	79/2	79/2	0.0625	0	0	Chord	4/4	1	1	1/64		1/64	1	120					
3	3	633/16	633/16	0.0625	1/64	1/64	Chord	4/4	1	1	1/64		1/64	1	121					
3	3	317/8	317/8	0.0625	1/32	1/32	Chord	4/4	1	1	1/64		1/64	1	122					
3	3	635/16	635/16	0.0625	3/64	3/64	Chord	4/4	1	1	1/64		1/64	1	123					
3	3	159/4	159/4	0.0625	1/16	1/16	Chord	4/4	1	1	1/64		1/64	1	124					
3	3	637/16	637/16	0.0625	5/64	5/64	Chord	4/4	1	1	1/64		1/64	1	125					
3	3	319/8	319/8	0.0625	3/32	3/32	Chord	4/4	1	1	1/64		1/64	1	126					
3	3	639/16	639/16	0.0625	7/64	7/64	Chord	4/4	1	1	1/64		1/64	1	127					
3	3	40	40	0.0625	1/8	1/8	Chord	4/4	1	1	1/64		1/64	1	128					
3	3	641/16	641/16	0.0625	9/64	9/64	Chord	4/4	1	1	1/64		1/64	1	129					
3	3	321/8	321/8	0.0625	5/32	5/32	Chord	4/4	1	1	1/64		1/64	1	130					
3	3	643/16	643/16	0.0625	11/64	11/64	Chord	4/4	1	1	1/64		1/64	1	131					
3	3	161/4	161/4	0.0625	3/16	3/16	Chord	4/4	1	1	1/64		1/64	1	132					
3	3	645/16	645/16	0.0625	13/64	13/64	Chord	4/4	1	1	1/64		1/64	1	133					
3	3	323/8	323/8	0.0625	7/32	7/32	Chord	4/4	1	1	1/64		1/64	1	134					
3	3	647/16	647/16	0.0625	15/64	15/64	Chord	4/4	1	1	1/64		1/64	1	135					
3	3	81/2	81/2	0.0625	1/4	1/4	Chord	4/4	1	1	1/64		1/64	1	136					
3	3	649/16	649/16	0.0625	17/64	17/64	Chord	4/4	1	1	1/64		1/64	1	137					
3	3	325/8	325/8	0.0625	9/32	9/32	Chord	4/4	1	1	1/64		1/64	1	138					
3	3	651/16	651/16	0.0625	19/64	19/64	Chord	4/4	1	1	1/64		1/64	1	139					
3	3	163/4	163/4	0.0625	5/16	5/16	Chord	4/4	1	1	1/64		1/64	1	140					
3	3	653/16	653/16	0.0625	21/64	21/64	Chord	4/4	1	1	1/64		1/64	1	141					
3	3	327/8	327/8	0.0625	11/32	11/32	Chord	4/4	1	1	1/64		1/64	1	142					
3	3	655/16	655/16	0.0625	23/64	23/64	Chord	4/4	1	1	1/64		1/64	1	143					
3	3	41	41	0.0625	3/8	3/8	Chord	4/4	1	1	1/64		1/64	1	144					
3	3	657/16	657/16	0.0625	25/64	25/64	Chord	4/4	1	1	1/64		1/64	1	145					
3	3	329/8	329/8	0.0625	13/32	13/32	Chord	4/4	1	1	1/64		1/64	1	146					
3	3	659/16	659/16	0.0625	27/64	27/64	Chord	4/4	1	1	1/64		1/64	1	147					
3	3	165/4	165/4	0.0625	7/16	7/16	Chord	4/4	1	1	1/64		1/64	1	148					
3	3	661/16	661/16	0.0625	29/64	29/64	Chord	4/4	1	1	1/64		1/64	1	149					
3	3	331/8	331/8	0.0625	15/32	15/32	Chord	4/4	1	1	1/64		1/64	1	150					
3	3	663/16	663/16	0.0625	31/64	31/64	Chord	4/4	1	1	1/64		1/64	1	151					
3	3	83/2	83/2	0.0625	1/2	1/2	Chord	4/4	1	1	1/64		1/64	1	152					
3	3	665/16	665/16	0.0625	33/64	33/64	Chord	4/4	1	1	1/64		1/64	1	153					
3	3	333/8	333/8	0.0625	17/32	17/32	Chord	4/4	1	1	1/64		1/64	1	154					
3	3	667/16	667/16	0.0625	35/64	35/64	Chord	4/4	1	1	1/64		1/64	1	155					
4	4	42	42	0.0	0	0	StaffText	4/4	1	1	0						arpeggio			
4	4	42	42	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	156					
4	4	44	44	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	157					
4	4	46	46	2.0	1	1	Chord	4/4	1	1	1/2		1/2	1	158					
4	4	48	48	0.0	3/2	3/2	Chord	4/4	1	1	0	grace4	1/4	1	159					
4	4	48	48	2.0	3/2	3/2	Chord	4/4	1	1	1/2		1/2	1	160					
4	4	50	50	2.0	2	2	Chord	4/4	1	1	1/2		1/2	1	161					
4	4	52	52	2.0	5/2	5/2	Chord	4/4	1	1	1/2		1/2	1	162					
4	4	42	42	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	163					
4	4	44	44	2.0	1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	164					
4	4	46	46	2.0	1	1	Chord	4/4	1	2	1/2		1/2	1	165					
4	4	48	48	2.0	3/2	3/2	Chord	4/4	1	2	1/2		1/2	1	166					
4	4	50	50	2.0	2	2	Chord	4/4	1	2	1/2		1/2	1	167					
4	4	42	42	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	168					
4	4	44	44	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	169					
4	4	46	46	2.0	1	1	Chord	4/4	2	1	1/2		1/2	1	170					
4	4	48	48	2.0	3/2	3/2	Chord	4/4	2	1	1/2		1/2	1	171					
4	4	50	50	2.0	2	2	Chord	4/4	2	1	1/2		1/2	1	172					
4	4	52	52	2.0	5/2	5/2	Chord	4/4	2	1	1/2		1/2	1	173					
4	4	42	42	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	174					
4	4	44	44	2.0	1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	175					
4	4	46	46	2.0	1	1	Chord	4/4	2	2	1/2		1/2	1	176					
4	4	48	48	2.0	3/2	3/2	Chord	4/4	2	2	1/2		1/2	1	177					
4	4	50	50	2.0	2	2	Chord	4/4	2	2	1/2		1/2	1	178					
4	4	52	52	2.0	5/2	5/2	Chord	4/4	2	2	1/2		1/2	1	179					
