mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
4	4	11	11	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	29								
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	30								
5	5	25/2	25/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	31								
5	5	13	13	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	32		ornamentTurn						
5	5	14	14	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	33								
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	34								
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	35								
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	36								
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	37								
6	6	15	15	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	38								
6	6	31/2	31/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	39								
6	6	16	16	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	40		ornamentTurn						
6	6	17	17	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	41								
6	6	35/2	35/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	42								
6	6	15	15	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	43								
6	6	16	16	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	44								
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	45								
7	7	18	18	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	46								
7	7	37/2	37/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	47								
7	7	19	19	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	48		ornamentTurn						
7	7	20	20	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	49								
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	50								
7	7	19	19	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	51								
7	7	18	18	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	52								
7	7	19	19	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	53								
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	54								
8	8	21	21	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	55								0
8	8	22	22	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	56		ornamentShortTrill						
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	57								
8	8	23	23	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	58								
8	8	47/2	47/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	59								
8	8	43/2	43/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	60								
8	8	22	22	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	61								
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	62								
8	8	23	23	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	63								
8	8	47/2	47/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	64								
9	9	24	24	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	65								
9	9	49/2	49/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	66								
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	67								
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	68								
9	9	24	24	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	69								
9	9	49/2	49/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	70								
9	9	25	25	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	71								
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	72								
10	10	27	27	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	73								1
10	10	28	28	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	74		ornamentShortTrill						
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	75								
10	10	29	29	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	76								
10	10	59/2	59/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	77								
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	78								
10	10	28	28	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	79								
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	80								
10	10	29	29	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	81								
10	10	59/2	59/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	82								
11	11	30	30	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	83								
11	11	61/2	61/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	84								
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	85								
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	86								
11	11	30	30	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	87								
11	11	61/2	61/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	88								
11	11	31	31	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	89								
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	90								
12	12	33	33	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	91								2
12	12	34	34	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	92		ornamentShortTrill						
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	93								
12	12	35	35	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	94								
12	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	95								
12	12	67/2	67/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	96								
12	12	34	34	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	97								
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	98								
12	12	35	35	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	99								
12	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	100								
13	13	36	36	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	101								
13	13	73/2	73/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	102								
13	13	37	37	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	103								
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	104								
13	13	38	38	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	105								
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	106								
13	13	36	36	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	107								
13	13	73/2	73/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	108								
13	13	37	37	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	109								
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	110								
13	13	38	38	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	111								
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	112								
14	14	39	39	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	113								
14	14	157/4	157/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	114								
14	14	79/2	79/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	115								
14	14	159/4	159/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	116								
14	14	40	40	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	117								
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	118								
14	14	41	41	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	119								
14	14	83/2	83/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	120								
14	14	39	39	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	121								
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	122								
14	14	41	41	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	123								
14	14	83/2	83/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	124								
15	15	42	42	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	125								
15	15	85/2	85/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	126								
15	15	43	43	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	127								
15	15	87/2	87/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	128								
15	15	44	44	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	129								
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	130								
15	15	42	42	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	131								
15	15	85/2	85/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	132								
15	15	43	43	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	133								
15	15	87/2	87/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	134								
15	15	44	44	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	135								
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	136								
16	16	45	45	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	137								
16	16	181/4	181/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	138								
16	16	91/2	91/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	139								
16	16	183/4	183/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	140								
16	16	46	46	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	141								
16	16	93/2	93/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	142								
16	16	47	47	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	143								
16	16	95/2	95/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	144								
16	16	45	45	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	145								
16	16	93/2	93/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	146								
16	16	47	47	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	147								
16	16	95/2	95/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	148								
17	17	48	48	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	149								
17	17	193/4	193/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	150								
17	17	97/2	97/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	151								
17	17	195/4	195/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	152								
17	17	49	49	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	153								
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	154								
17	17	50	50	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	155								
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	156								
17	17	48	48	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	157								
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	158								
17	17	50	50	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	159								
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	160								
18	18	51	51	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	161								
18	18	205/4	205/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	162								
18	18	103/2	103/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	163								
18	18	207/4	207/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	164								
18	18	52	52	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	165								
18	18	209/4	209/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	166								
18	18	105/2	105/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	167								
18	18	211/4	211/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	168								
18	18	53	53	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	169								
18	18	213/4	213/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	170								
18	18	107/2	107/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	171								
18	18	215/4	215/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	172								
18	18	51	51	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	173								
19	19	54	54	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	174								
19	19	217/4	217/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	175								
19	19	109/2	109/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	176								
19	19	219/4	219/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	177								
19	19	55	55	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	178								
19	19	221/4	221/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	179								
19	19	111/2	111/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	180								
19	19	223/4	223/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	181								
19	19	56	56	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	182								
19	19	225/4	225/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	183								
19	19	113/2	113/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	184								
19	19	227/4	227/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	185								
19	19	54	54	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	186								
19	19	55	55	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	187								
19	19	113/2	113/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	188								
20	20	57	57	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	189								
20	20	229/4	229/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	190								
20	20	115/2	115/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	191								
20	20	231/4	231/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	192								
20	20	58	58	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	193								
20	20	233/4	233/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	194								
20	20	117/2	117/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	195								
20	20	235/4	235/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	196								
20	20	59	59	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	197								
20	20	237/4	237/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	198								
20	20	119/2	119/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	199								
20	20	239/4	239/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	200								
20	20	57	57	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	201								
20	20	117/2	117/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	202								
20	20	59	59	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	203								
20	20	119/2	119/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	204								
21	21	60	60	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	205		articStaccatissimoBelow						
21	21	61	61	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	206		articStaccatissimoAbove						
21	21	251/4	251/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	207								
21	21	60	60	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	208								
21	21	121/2	121/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	209								
21	21	61	61	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	210								
21	21	123/2	123/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	211								
21	21	62	62	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	212								
21	21	125/2	125/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	213								
22	22	63	63	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	214		articStaccatissimoBelow						
22	22	64	64	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	215		ornamentTremblement						
22	22	65	65	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	216		articStaccatissimoBelow						
22	22	63	63	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	217								
22	22	127/2	127/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	218								
22	22	64	64	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	219								
22	22	129/2	129/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	220								
22	22	65	65	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	221								
22	22	131/2	131/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	222								
23	23	66	66	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	223		ornamentTremblement						
23	23	67	67	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	224		articStaccatissimoBelow						
23	23	68	68	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	225		articStaccatissimoAbove						
23	23	275/4	275/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	226								
23	23	66	66	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	227								
23	23	133/2	133/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	228								
23	23	67	67	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	229								
23	23	135/2	135/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	230								
23	23	68	68	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	231								
23	23	137/2	137/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	232								
24	24	69	69	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	233		articStaccatissimoAbove						
24	24	279/4	279/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	234								
24	24	70	70	0.75	1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	235		articStaccatissimoAbove						
24	24	283/4	283/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	236								
24	24	71	71	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	237		articStaccatissimoAbove						
24	24	287/4	287/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	238								
24	24	69	69	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	239								
24	24	139/2	139/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	240								
24	24	70	70	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	241								
24	24	141/2	141/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	242								
24	24	71	71	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	243								
24	24	143/2	143/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	244								
25	25	72	72	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	245		articStaccatissimoAbove						
25	25	291/4	291/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	246								
25	25	73	73	0.75	1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	247		articStaccatissimoAbove						
25	25	295/4	295/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	248								
25	25	74	74	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	249		articStaccatissimoAbove						
25	25	299/4	299/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	250								
25	25	72	72	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	251								
25	25	145/2	145/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	252								
25	25	73	73	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	253								
25	25	147/2	147/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	254								
25	25	74	74	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	255								
25	25	149/2	149/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	256								
26	26	75	75	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	257		articStaccatissimoAbove						
26	26	76	76	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	258								
26	26	305/4	305/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	259								
26	26	153/2	153/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	260								
26	26	307/4	307/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	261								
26	26	77	77	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	262								
26	26	309/4	309/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	263								
26	26	155/2	155/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	264								
26	26	311/4	311/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	265								
26	26	75	75	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	266		articStaccatissimoAbove						
27	27	78	78	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	267								
27	27	313/4	313/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	268								
27	27	157/2	157/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	269								
27	27	315/4	315/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	270								
27	27	79	79	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	271								
27	27	317/4	317/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	272								
27	27	159/2	159/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	273								
27	27	319/4	319/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	274								
27	27	80	80	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	275								
27	27	321/4	321/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	276								
27	27	161/2	161/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	277								
27	27	323/4	323/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	278								
28	28	81	81	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	279								
28	28	325/4	325/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	280								
28	28	163/2	163/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	281								
28	28	327/4	327/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	282								
28	28	82	82	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	283								
28	28	329/4	329/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	284								
28	28	165/2	165/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	285								
28	28	331/4	331/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	286								
28	28	83	83	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	287								
