mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	slur
3	3	23/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	29						
3	3	4	1.0		0	0	Chord	2/4	2	1	1/4			1/4	1	30						
3	3	5	1.0		1/4	1/4	Chord	2/4	2	1	1/4			1/4	1	31						
4	4	6	0.0		0	0	Chord	2/4	1	1	0	grace32		1/32	1	32						
4	4	6	0.0		0	0	Chord	2/4	1	1	0	grace32		1/32	1	33						
4	4	6	0.5		0	0	Chord	2/4	1	1	1/8			1/8	1	34						
4	4	13/2	1.0		1/8	1/8	Chord	2/4	1	1	1/4			1/4	1	35						
4	4	31/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	36						
4	4	13/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	37						
4	4	7	0.5		1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	38						
4	4	15/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	39						
5	5	8	0.0		0	0	Chord	2/4	1	1	0	grace32		1/32	1	40						
5	5	8	0.0		0	0	Chord	2/4	1	1	0	grace32		1/32	1	41						
5	5	8	0.25		0	0	Chord	2/4	1	1	1/16			1/16	1	42						
5	5	33/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	43						
5	5	17/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	44						
5	5	9	0.25		1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	45						
5	5	37/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	46						
5	5	19/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	47						
5	5	17/2	0.5		1/8	1/8	Chord	2/4	1	2	1/8			1/8	1	48						
5	5	9	1.0		1/4	1/4	Chord	2/4	1	2	1/4			1/4	1	49						
5	5	17/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	50						
5	5	9	0.5		1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	51						
5	5	19/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	52						
6	6	10	0.25		0	0	Chord	2/4	1	1	1/16			1/16	1	53						
6	6	41/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	54						
6	6	21/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	55						
6	6	11	0.375		1/4	1/4	Chord	2/4	1	1	3/32			1/16	3/2	56						
6	6	91/8	0.125		11/32	11/32	Chord	2/4	1	1	1/32			1/32	1	57						
6	6	23/2	0.375		3/8	3/8	Chord	2/4	1	1	3/32			1/16	3/2	58						
6	6	95/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	59						
6	6	10	1.0		0	0	Chord	2/4	1	2	1/4			1/4	1	60						
6	6	11	1.0		1/4	1/4	Chord	2/4	1	2	1/4			1/4	1	61						
6	6	10	0.5		0	0	Chord	2/4	2	1	1/8			1/8	1	62						
6	6	21/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	63						
6	6	11	0.5		1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	64						
6	6	23/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	65						
7	7	12	1.0		0	0	Chord	2/4	1	1	1/4			1/4	1	66		ornamentTurn				
7	7	13	0.5		1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	67						
7	7	27/2	0.125		3/8	3/8	Chord	2/4	1	1	1/32			1/32	1	68						
7	7	109/8	0.125		13/32	13/32	Chord	2/4	1	1	1/32			1/32	1	69						
7	7	55/4	0.125		7/16	7/16	Chord	2/4	1	1	1/32			1/32	1	70						
7	7	111/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	71						
7	7	12	0.5		0	0	Chord	2/4	2	1	1/8			1/8	1	72						
7	7	25/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	73						
7	7	13	0.5		1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	74						
7	7	27/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	75						
8	8	14	1.0		0	0	Chord	2/4	1	1	1/4			1/4	1	76						5
8	8	15	0.5		1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	77		ornamentTurn				
8	8	15	0.5		1/4	1/4	Chord	2/4	1	2	1/8			1/8	1	78						
8	8	29/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	79						
8	8	15	0.5		1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	80						
8	8	14	1.0		0	0	Chord	2/4	2	2	1/4			1/4	1	81						
8	8	15	0.375		1/4	1/4	Chord	2/4	2	2	3/32			1/16	3/2	82						
8	8	123/8	0.125		11/32	11/32	Chord	2/4	2	2	1/32			1/32	1	83						
8	8	31/2	0.375		3/8	3/8	Chord	2/4	2	2	3/32			1/16	3/2	84						
8	8	127/8	0.125		15/32	15/32	Chord	2/4	2	2	1/32			1/32	1	85						
9	9	16	0.0		0	0	StaffText	2/4	1	1	0								ten.			
9	9	16	1.0		0	0	Chord	2/4	1	1	1/4			1/4	1	86						
9	9	17	0.25		1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	87						6
9	9	69/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	88						
9	9	35/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	89						7
9	9	71/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	90						
9	9	16	1.0		0	0	Chord	2/4	1	2	1/4			1/4	1	91						
9	9	17	0.25		1/4	1/4	Chord	2/4	1	2	1/16			1/16	1	92						
9	9	69/4	0.25		5/16	5/16	Chord	2/4	1	2	1/16			1/16	1	93						
9	9	35/2	0.25		3/8	3/8	Chord	2/4	1	2	1/16			1/16	1	94						
9	9	71/4	0.25		7/16	7/16	Chord	2/4	1	2	1/16			1/16	1	95						
9	9	16	0.5		0	0	Chord	2/4	2	1	1/8			1/8	1	96						
9	9	33/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	97						
10	10	18	0.75		0	0	Chord	2/4	1	1	3/16			1/8	3/2	98						8
10	10	75/4	0.125		3/16	3/16	Chord	2/4	1	1	1/32			1/32	1	99						8
10	10	151/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	100						
10	10	19	0.5		1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	101						
10	10	79/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	102						
10	10	18	1.0		0	0	Chord	2/4	1	2	1/4			1/4	1	103						
10	10	19	0.5		1/4	1/4	Chord	2/4	1	2	1/8			1/8	1	104						
10	10	37/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	105						9
10	10	19	0.5		1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	106						
10	10	39/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	107						
11	11	20	0.75		0	0	Chord	2/4	1	1	3/16			1/8	3/2	108		ornamentTurn				
11	11	83/4	0.125		3/16	3/16	Chord	2/4	1	1	1/32			1/32	1	109						
11	11	167/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	110						
11	11	21	0.5		1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	111						
11	11	43/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	112		ornamentTurn				
11	11	41/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	113						
11	11	21	0.5		1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	114						
11	11	43/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	115						
11	11	21	1.0		1/4	1/4	Chord	2/4	2	4	1/4			1/4	1	116						
12	12	22	0.75		0	0	Chord	2/4	1	1	3/16			1/8	3/2	117		ornamentTurn				
12	12	91/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	118						
12	12	23	0.75		1/4	1/4	Chord	2/4	1	1	3/16			1/8	3/2	119		ornamentTurn				
12	12	95/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	120						
12	12	22	1.0		0	0	Chord	2/4	2	1	1/4			1/4	1	121						
12	12	23	1.0		1/4	1/4	Chord	2/4	2	1	1/4			1/4	1	122						
12	12	22	0.5		0	0	Chord	2/4	2	2	1/8			1/8	1	123						
12	12	45/2	0.5		1/8	1/8	Chord	2/4	2	2	1/8			1/8	1	124						
12	12	23	0.5		1/4	1/4	Chord	2/4	2	2	1/8			1/8	1	125						
12	12	47/2	0.5		3/8	3/8	Chord	2/4	2	2	1/8			1/8	1	126						
13	13	24	0.25		0	0	Chord	2/4	1	1	1/16			1/16	1	127						
13	13	97/4	0.0		1/16	1/16	Chord	2/4	1	1	0	grace32		1/32	1	128						
13	13	97/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	129						
13	13	49/2	0.125		1/8	1/8	Chord	2/4	1	1	1/32			1/32	1	130						
13	13	197/8	0.125		5/32	5/32	Chord	2/4	1	1	1/32			1/32	1	131						
13	13	99/4	0.125		3/16	3/16	Chord	2/4	1	1	1/32			1/32	1	132						
13	13	199/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	133						
13	13	25	0.5		1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	134						10
13	13	51/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	135		ornamentTurn				
13	13	49/2	1.0		1/8	1/8	Chord	2/4	2	1	1/4			1/4	1	136						
13	13	51/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	137						
13	13	24	1.0		0	0	Chord	2/4	2	2	1/4			1/4	1	138						
13	13	25	0.5		1/4	1/4	Chord	2/4	2	2	1/8			1/8	1	139						
13	13	51/2	0.5		3/8	3/8	Chord	2/4	2	2	1/8			1/8	1	140						
14	14	26	0.25		0	0	Chord	2/4	1	1	1/16			1/16	1	141						
14	14	105/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	142						
14	14	53/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	143						
14	14	107/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	144						
14	14	27	0.25		1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	145						
14	14	109/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	146						
14	14	55/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	147						
14	14	111/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	148						
14	14	26	0.5		0	0	Chord	2/4	2	1	1/8			1/8	1	149						
14	14	53/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	150						
14	14	27	0.5		1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	151						
14	14	55/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	152						
15	15	28	0.25		0	0	Chord	2/4	1	1	1/16			1/16	1	153						
15	15	113/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	154						
15	15	57/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	155						
15	15	29	0.375		1/4	1/4	Chord	2/4	1	1	3/32			1/16	3/2	156						
15	15	235/8	0.125		11/32	11/32	Chord	2/4	1	1	1/32			1/32	1	157						
15	15	59/2	0.375		3/8	3/8	Chord	2/4	1	1	3/32			1/16	3/2	158		ornamentMordent				
15	15	239/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	159						
15	15	28	0.5		0	0	Chord	2/4	2	1	1/8			1/8	1	160						
15	15	57/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	161						
15	15	29	0.5		1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	162						
15	15	59/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	163						
16	16	30	0.0		0	0	Chord	2/4	1	1	0	grace16		1/16	1	164						
16	16	30	0.5		0	0	Chord	2/4	1	1	1/8			1/8	1	165		ornamentShortTrill				
16	16	61/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	166						
16	16	247/8	0.0		7/32	7/32	Dynamic	2/4	1	1	0						ff					
16	16	247/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	167						
16	16	31	0.5		1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	168						11
16	16	63/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	169		ornamentTurn				
16	16	30	0.5		0	0	Chord	2/4	2	1	1/8			1/8	1	170						
16	16	61/2	0.375		1/8	1/8	Chord	2/4	2	1	3/32			1/16	3/2	171						12
16	16	247/8	0.125		7/32	7/32	Chord	2/4	2	1	1/32			1/32	1	172						
16	16	31	0.5		1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	173						
16	16	63/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	174						
17	17	32	0.5		0	0	Chord	2/4	1	1	1/8			1/8	1	175		articStaccatissimoBelow				
17	17	33	0.0		1/4	1/4	Dynamic	2/4	1	1	0						p					
17	17	33	0.75		1/4	1/4	Chord	2/4	1	1	3/16			1/8	3/2	176						
17	17	135/4	0.125		7/16	7/16	Chord	2/4	1	1	1/32			1/32	1	177						
17	17	271/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	178						
17	17	32	0.5		0	0	Chord	2/4	2	1	1/8			1/8	1	179		articStaccatissimoBelow				
17	17	67/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	180						
18	18	34	0.5		0	0	Chord	2/4	1	1	1/8			1/8	1	181		articStaccatissimoAbove				
18	18	139/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	182						
18	18	35	0.0		1/4	1/4	Chord	2/4	1	1	0	grace16		1/16	1	183						
18	18	35	0.25		1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	184						
18	18	141/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	185						
18	18	143/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	186						
18	18	69/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	187						
18	18	71/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	188						
19	19	36	0.25		0	0	Chord	2/4	1	1	1/16			1/16	1	189						
19	19	145/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	190						
19	19	73/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	191						
19	19	37	0.75		1/4	1/4	Chord	2/4	1	1	3/16			1/8	3/2	192		ornamentTurn				
19	19	151/4	0.125		7/16	7/16	Chord	2/4	1	1	1/32			1/32	1	193						
19	19	303/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	194						
19	19	73/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	195						
19	19	37	0.5		1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	196						
19	19	75/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	197						
20	20	38	0.5		0	0	Chord	2/4	1	1	1/8			1/8	1	198		articStaccatissimoAbove				
20	20	155/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	199						
20	20	39	0.16666666666666666		1/4	1/4	Chord	2/4	1	1	1/24			1/16	2/3	200						
20	20	235/6	0.16666666666666666		7/24	7/24	Chord	2/4	1	1	1/24			1/16	2/3	201						
20	20	118/3	0.16666666666666666		1/3	1/3	Chord	2/4	1	1	1/24			1/16	2/3	202						
20	20	79/2	0.16666666666666666		3/8	3/8	Chord	2/4	1	1	1/24			1/16	2/3	203						
20	20	119/3	0.16666666666666666		5/12	5/12	Chord	2/4	1	1	1/24			1/16	2/3	204						
20	20	239/6	0.16666666666666666		11/24	11/24	Chord	2/4	1	1	1/24			1/16	2/3	205						
20	20	38	0.5		0	0	Chord	2/4	2	1	1/8			1/8	1	206						
20	20	77/2	0.0		1/8	1/8	Dynamic	2/4	2	1	0						ff					
20	20	77/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	207						
20	20	39	0.5		1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	208						
20	20	79/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	209						
21	21	40	0.0		0	0	Chord	2/4	1	1	0	grace4		1/4	1	210						
21	21	40	2.0		0	0	Chord	2/4	1	1	1/2			1/2	1	211		ornamentMordent				
21	21	40	2.0		0	0	Chord	2/4	2	1	1/2			1/2	1	212						
22	22	42	0.0		0	0	Dynamic	2/4	1	1	0						f					
22	22	42	0.5		0	0	Chord	2/4	1	1	1/8			1/8	1	213						
22	22	85/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	214						
22	22	43	0.75		1/4	1/4	Chord	2/4	1	1	3/16			1/8	3/2	215						
22	22	175/4	0.0		7/16	7/16	Dynamic	2/4	1	1	0						p					
22	22	175/4	0.125		7/16	7/16	Chord	2/4	1	1	1/32			1/32	1	216						
22	22	351/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	217						
22	22	42	0.5		0	0	Chord	2/4	1	2	1/8			1/8	1	218						
22	22	85/2	0.5		1/8	1/8	Chord	2/4	1	2	1/8			1/8	1	219						
22	22	43	0.5		1/4	1/4	Chord	2/4	1	2	1/8			1/8	1	220						
22	22	87/2	0.5		3/8	3/8	Chord	2/4	1	2	1/8			1/8	1	221						
23	23	44	0.25		0	0	Chord	2/4	1	1	1/16			1/16	1	222						
23	23	177/4	0.0		1/16	1/16	Dynamic	2/4	1	1	0						p					
23	23	177/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	223						
23	23	89/2	1.0		1/8	1/8	Chord	2/4	1	1	1/4			1/4	1	224						
23	23	91/2	0.375		3/8	3/8	Chord	2/4	1	1	3/32			1/16	3/2	225						
23	23	367/8	0.0		15/32	15/32	Dynamic	2/4	1	1	0						pp					
23	23	367/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	226						
23	23	89/2	0.5		1/8	1/8	Chord	2/4	1	2	1/8			1/8	1	227						
23	23	45	0.5		1/4	1/4	Chord	2/4	1	2	1/8			1/8	1	228						
23	23	91/2	0.5		3/8	3/8	Chord	2/4	1	2	1/8			1/8	1	229						
24	24	46	0.25		0	0	Chord	2/4	1	1	1/16			1/16	1	230						
24	24	185/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	231						
24	24	187/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	232						
24	24	47	0.375		1/4	1/4	Chord	2/4	1	1	3/32			1/16	3/2	233						13
24	24	379/8	0.0625		11/32	11/32	Chord	2/4	1	1	1/64			1/64	1	234						13
24	24	759/16	0.0625		23/64	23/64	Chord	2/4	1	1	1/64			1/64	1	235						13
24	24	95/2	0.375		3/8	3/8	Chord	2/4	1	1	3/32			1/16	3/2	236		articStaccatissimoAbove				
24	24	383/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	237						
24	24	93/2	0.0		1/8	1/8	Dynamic	2/4	2	1	0						pp					
24	24	93/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	238						
24	24	47	0.5		1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	239						
24	24	95/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	240						
25	25	48	0.0		0	0	Chord	2/4	1	1	0	grace32		1/32	1	241						
25	25	48	0.0		0	0	Chord	2/4	1	1	0	grace32		1/32	1	242						
25	25	48	1.0		0	0	Chord	2/4	1	1	1/4			1/4	1	243						14
25	25	49	0.5		1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	244		ornamentTurn				
25	25	48	0.5		0	0	Chord	2/4	2	1	1/8			1/8	1	245						
25	25	97/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	246						
25	25	49	0.375		1/4	1/4	Chord	2/4	2	1	3/32			1/16	3/2	247						
25	25	395/8	0.125		11/32	11/32	Chord	2/4	2	1	1/32			1/32	1	248						
25	25	99/2	0.0		3/8	3/8	Dynamic	2/4	2	1	0						f					
25	25	99/2	0.375		3/8	3/8	Chord	2/4	2	1	3/32			1/16	3/2	249						
25	25	399/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32			1/32	1	250						
26	26	101/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	251						
26	26	203/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	252						
26	26	51	0.75		1/4	1/4	Chord	2/4	1	1	3/16			1/8	3/2	253						
26	26	207/4	0.125		7/16	7/16	Chord	2/4	1	1	1/32			1/32	1	254						
26	26	415/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	255						
26	26	101/2	0.25		1/8	1/8	Chord	2/4	1	2	1/16			1/16	1	256						
26	26	203/4	0.25		3/16	3/16	Chord	2/4	1	2	1/16			1/16	1	257						
26	26	51	0.875		1/4	1/4	Chord	2/4	1	2	7/32			1/8	7/4	258						
26	26	415/8	0.125		15/32	15/32	Chord	2/4	1	2	1/32			1/32	1	259						
26	26	50	1.0		0	0	Chord	2/4	2	1	1/4			1/4	1	260						
26	26	103/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	261						
27	27	52	0.25		0	0	Chord	2/4	1	1	1/16			1/16	1	262						
27	27	209/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	263						
27	27	105/2	1.0		1/8	1/8	Chord	2/4	1	1	1/4			1/4	1	264						
27	27	107/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	265						
27	27	105/2	1.0		1/8	1/8	Chord	2/4	1	3	1/4			1/4	1	266						
27	27	107/2	0.5		3/8	3/8	Chord	2/4	1	3	1/8			1/8	1	267		ornamentTurn				
27	27	52	0.5		0	0	Chord	2/4	2	1	1/8			1/8	1	268						
27	27	105/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	269						
27	27	53	0.5		1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	270						
27	27	107/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	271						
28	28	54	0.5		0	0	Chord	2/4	1	1	1/8			1/8	1	272						
28	28	109/2	0.0		1/8	1/8	Dynamic	2/4	1	1	0						p					
28	28	109/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	273						
28	28	219/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	274						
28	28	55	0.75		1/4	1/4	Chord	2/4	1	1	3/16			1/8	3/2	275						
28	28	223/4	0.125		7/16	7/16	Chord	2/4	1	1	1/32			1/32	1	276						
28	28	447/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	277						
28	28	54	0.5		0	0	Chord	2/4	1	3	1/8			1/8	1	278						
28	28	55	0.875		1/4	1/4	Chord	2/4	1	3	7/32			1/8	7/4	279						
28	28	447/8	0.125		15/32	15/32	Chord	2/4	1	3	1/32			1/32	1	280						
28	28	54	1.0		0	0	Chord	2/4	2	1	1/4			1/4	1	281						
28	28	111/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	282						
29	29	56	0.25		0	0	Chord	2/4	1	1	1/16			1/16	1	283						
29	29	225/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	284						
29	29	113/2	1.0		1/8	1/8	Chord	2/4	1	1	1/4			1/4	1	285						
29	29	115/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	286		ornamentTurn				
29	29	56	0.5		0	0	Chord	2/4	2	1	1/8			1/8	1	287						
29	29	113/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	288						
29	29	57	0.5		1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	289						
29	29	115/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	290						
30	30	58	0.5		0	0	Chord	2/4	1	1	1/8			1/8	1	291						
30	30	117/2	0.0		1/8	1/8	Dynamic	2/4	1	1	0						f					
30	30	117/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	292						
30	30	59	0.5		1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	293						
30	30	119/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	294						
30	30	58	0.5		0	0	Chord	2/4	2	1	1/8			1/8	1	295						
30	30	117/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	296						
30	30	59	0.5		1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	297						
