mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:upprall
3	2	13/2	13/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	17										
4	3	7	7	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	18									2	
4	3	15/2	15/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	19										
4	3	8	8	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	20									3	
4	3	17/2	17/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	21										
4	3	9	9	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	22									4	
4	3	19/2	19/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	23										
4	3	7	7	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	24										
4	3	8	8	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	25										
4	3	9	9	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	26										
5	4	10	10	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	27										
5	4	41/4	41/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	28										
5	4	21/2	21/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	29										
5	4	43/4	43/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	30										
5	4	11	11	0.0	1/4	1/4	Chord	3/4	1	1	0	appoggiatura	1/8	1	31										
5	4	11	11	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	32		ornamentShortTrill								
5	4	12	12	0.0	1/2	1/2	Dynamic	3/4	1	1	0					p									
5	4	12	12	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	33										
5	4	25/2	25/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	34										
5	4	12	12	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	35										
5	4	25/2	25/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	36										
5	4	10	10	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	37										
5	4	21/2	21/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	38										
5	4	11	11	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	39										
6	5	13	13	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	40		ornamentTurn							5	
6	5	14	14	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	41										
6	5	15	15	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	42										
6	5	31/2	31/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	43										
6	5	13	13	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	44										
6	5	15	15	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	45										
6	5	31/2	31/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	46										
7	6	16	16	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	47									6	
7	6	17	17	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	48										
7	6	18	18	0.0	1/2	1/2	Dynamic	3/4	1	1	0					f									
7	6	18	18	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	49										
7	6	37/2	37/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	50										
7	6	16	16	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	51										
7	6	18	18	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	52										
7	6	37/2	37/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	53										
8	7	19	19	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	54									7	
8	7	39/2	39/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	55										
8	7	20	20	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	56										
8	7	81/4	81/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	57										
8	7	41/2	41/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	58										
8	7	83/4	83/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	59										
8	7	21	21	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	60									8	
8	7	43/2	43/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	61		ornamentTurn								
8	7	19	19	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	62										
8	7	20	20	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	63										
8	7	21	21	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	64										
8	7	43/2	43/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	65										
9	8	22	22	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	66										
9	8	24	24	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	67										
9	8	49/2	49/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	68										
9	8	24	24	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	69										
9	8	49/2	49/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	70										
9	8	22	22	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	71										
9	8	45/2	45/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	72										
9	8	91/4	91/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	73										
9	8	23	23	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	74										
10	9	25	25	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	75		ornamentTurn								
10	9	51/2	51/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	76										
10	9	103/4	103/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	77										
10	9	26	26	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	78										
10	9	27	27	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	79										
10	9	109/4	109/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	80										
10	9	55/2	55/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	81										
10	9	111/4	111/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	82										
10	9	25	25	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	83										
10	9	53/2	53/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	84										
10	9	27	27	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	85										
10	9	55/2	55/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	86										
11	10	28	28	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	87										
11	10	113/4	113/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	88										
11	10	57/2	57/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	89										
11	10	115/4	115/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	90										
11	10	29	29	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	91									9	
11	10	59/2	59/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	92		ornamentShortTrill								
11	10	30	30	0.0	1/2	1/2	Dynamic	3/4	1	1	0					p									
11	10	61/2	61/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	93										
11	10	28	28	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	94										
11	10	30	30	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	95		articStaccatissimoAbove								
12	11	63/2	63/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	96										
12	11	65/2	65/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	97										
12	11	67/2	67/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	98										
12	11	31	31	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	99		articStaccatissimoAbove								
12	11	32	32	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	100		articStaccatissimoAbove								
12	11	33	33	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	101		articStaccatissimoAbove								
13	12	34	34	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	102										
13	12	137/4	137/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	103										
13	12	69/2	69/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	104										
13	12	139/4	139/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	105										
13	12	35	35	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	106									10	
13	12	71/2	71/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	107		ornamentShortTrill								
13	12	36	36	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	108										
13	12	145/4	145/4	0.0	9/16	9/16	Dynamic	3/4	1	1	0					f									
13	12	145/4	145/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	109										
13	12	73/2	73/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	110										
13	12	147/4	147/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	111										
13	12	34	34	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	112										
13	12	69/2	69/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	113										
13	12	35	35	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	114										
13	12	36	36	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	115										
14	13	37	37	0.0	0	0	Dynamic	3/4	1	1	0					p									
14	13	75/2	75/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	116										
14	13	151/4	151/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	117										
14	13	38	38	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	118									11	
14	13	77/2	77/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	119		ornamentShortTrill								
14	13	39	39	0.0	1/2	1/2	Dynamic	3/4	1	1	0					f									
14	13	39	39	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	120										
14	13	157/4	157/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	121										
14	13	79/2	79/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	122										
14	13	159/4	159/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	123										
14	13	37	37	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	124										
14	13	39	39	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	125										
15	14	40	40	0.0	0	0	Dynamic	3/4	1	1	0					p									
15	14	161/4	161/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	126										
15	14	81/2	81/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	127										
15	14	163/4	163/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	128										
15	14	41	41	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	129									12	
15	14	83/2	83/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	130		ornamentShortTrill								
15	14	42	42	0.0	1/2	1/2	Dynamic	3/4	1	1	0					f									
15	14	169/4	169/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	131										
15	14	85/2	85/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	132										
15	14	171/4	171/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	133										
15	14	40	40	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	134										
15	14	42	42	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	135										
16	15	173/4	173/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	136										
16	15	87/2	87/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	137										
16	15	175/4	175/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	138										
16	15	177/4	177/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	139										
16	15	89/2	89/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	140										
16	15	179/4	179/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	141										
16	15	45	45	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	142										
16	15	181/4	181/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	143										
16	15	91/2	91/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	144										
16	15	183/4	183/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	145										
16	15	43	43	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	146										
16	15	44	44	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	147										
16	15	45	45	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	148										
16	15	91/2	91/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	149										
17	16	46	46	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	150									13	
17	16	93/2	93/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	151		ornamentShortTrill								
17	16	48	48	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	152		ornamentTurn								
17	16	97/2	97/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	153										
17	16	195/4	195/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	154										
17	16	48	48	1.0	1/2	1/2	Chord	3/4	1	4	1/4		1/4	1	155										
17	16	46	46	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	156										
17	16	93/2	93/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	157										
17	16	187/4	187/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	158										
17	16	47	47	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	159										
18	17	49	49	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	160									14	
18	17	50	50	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	161										
18	17	51	51	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	162										
18	17	205/4	205/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	163										
18	17	103/2	103/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	164										
18	17	207/4	207/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	165										
18	17	49	49	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	166										
18	17	51	51	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	167										
19	18	52	52	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	168										
19	18	209/4	209/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	169										
19	18	105/2	105/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	170										
19	18	211/4	211/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	171										
19	18	53	53	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	172										
19	18	52	52	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	173										
19	18	213/4	213/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	174										
19	18	107/2	107/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	175										
19	18	215/4	215/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	176										
19	18	54	54	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	177										
19	18	217/4	217/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	178										
19	18	109/2	109/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	179										
19	18	219/4	219/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	180										
20	19	223/4	223/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	181										
20	19	56	56	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	182										
20	19	225/4	225/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	183										
20	19	113/2	113/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	184										
20	19	227/4	227/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	185										
20	19	57	57	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	186										
20	19	229/4	229/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	187										
20	19	115/2	115/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	188										
20	19	231/4	231/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	189										
20	19	55	55	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	190									15	
20	19	111/2	111/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	191										
20	19	113/2	113/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	192										
20	19	57	57	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	193										
20	19	115/2	115/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	194										
21	20	58	58	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	195										
21	20	233/4	233/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	196										
21	20	117/2	117/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	197										
21	20	235/4	235/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	198										
21	20	59	59	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	199									16	
21	20	119/2	119/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	200										
21	20	60	60	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	201										
21	20	121/2	121/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	202										
21	20	59	59	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	203										
21	20	119/2	119/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	204										
21	20	60	60	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	205										
21	20	121/2	121/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	206										
21	20	58	58	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	207										
21	20	59	59	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	208										
22	21	61	61	0.16666666666666666	0	0	Chord	3/4	1	1	1/24		1/16	2/3	209										
22	21	367/6	367/6	0.16666666666666666	1/24	1/24	Chord	3/4	1	1	1/24		1/16	2/3	210										
22	21	184/3	184/3	0.16666666666666666	1/12	1/12	Chord	3/4	1	1	1/24		1/16	2/3	211										
22	21	123/2	123/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	212									17	
22	21	62	62	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	213										
22	21	63	63	0.0	1/2	1/2	Dynamic	3/4	1	1	0					p									
22	21	63	63	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	214										
22	21	253/4	253/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	215										
22	21	127/2	127/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	216										
22	21	255/4	255/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	217										
22	21	61	61	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	218										
22	21	63	63	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	219										
22	21	127/2	127/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	220										
23	22	64	64	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	221									18	
23	22	65	65	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	222		ornamentShortTrill								
23	22	66	66	0.0	1/2	1/2	Dynamic	3/4	1	1	0					f									
23	22	265/4	265/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	223										
23	22	133/2	133/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	224										
23	22	267/4	267/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	225										
23	22	65	65	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	226										
23	22	66	66	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	227										
23	22	64	64	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	228										
23	22	66	66	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	229										
24	23	269/4	269/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	230										
24	23	135/2	135/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	231										
24	23	271/4	271/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	232										
24	23	273/4	273/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	233										
24	23	137/2	137/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	234										
24	23	275/4	275/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	235										
24	23	69	69	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	236										
24	23	277/4	277/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	237										
24	23	139/2	139/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	238										
24	23	279/4	279/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	239										
24	23	67	67	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	240										
24	23	68	68	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	241										
24	23	69	69	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	242										
24	23	67	67	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	243										
24	23	68	68	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	244										
25	24	70	70	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	245										
25	24	141/2	141/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	246										
25	24	72	72	0.0	1/2	1/2	Dynamic	3/4	1	1	0					p									
25	24	72	72	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	247										
25	24	145/2	145/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	248										
25	24	70	70	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	249										
25	24	141/2	141/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	250										
25	24	283/4	283/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	251										
25	24	71	71	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	252										
25	24	143/2	143/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	253										
26	25	73	73	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	254									19	
26	25	74	74	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	255										
26	25	75	75	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	256										
26	25	151/2	151/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	257										
26	25	147/2	147/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	258										
26	25	74	74	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	259										
26	25	149/2	149/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	260										
27	26	76	76	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	261									20	
27	26	77	77	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	262										
27	26	78	78	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	263										
27	26	157/2	157/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	264										
27	26	153/2	153/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	265										
27	26	77	77	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	266										
27	26	155/2	155/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	267										
28	27	79	79	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	268									21	
28	27	80	80	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	269										
28	27	81	81	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	270										
28	27	163/2	163/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	271										
28	27	159/2	159/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	272										
28	27	80	80	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	273										
28	27	161/2	161/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	274										
29	28	82	82	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	275									22	
29	28	83	83	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	276										
29	28	84	84	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	277										
